source,target,version,weight
ts-contacts-service,ts-sso-service,0.0.1,1
ts-admin-user-service,ts-sso-service,0.0.1,1
ts-login-service,ts-verification-code-service,0.0.1,1
ts-login-service,ts-sso-service,0.0.1,1
ts-cancel-service,ts-sso-service,0.0.1,1
ts-cancel-service,ts-notification-service,0.0.1,1
ts-cancel-service,ts-order-other-service,0.0.1,1
ts-cancel-service,ts-inside-payment-service,0.0.1,1
ts-cancel-service,ts-order-service,0.0.1,1
ts-assurance-service,ts-sso-service,0.0.1,1
ts-order-other-service,ts-sso-service,0.0.1,1
ts-order-other-service,ts-station-service,0.0.1,1
ts-preserve-service,ts-ticketinfo-service,0.0.1,1
ts-preserve-service,ts-seat-service,0.0.1,1
ts-preserve-service,ts-notification-service,0.0.1,1
ts-preserve-service,ts-sso-service,0.0.1,1
ts-preserve-service,ts-assurance-service,0.0.1,1
ts-preserve-service,ts-station-service,0.0.1,1
ts-preserve-service,ts-security-service,0.0.1,1
ts-preserve-service,ts-travel-service,0.0.1,1
ts-preserve-service,ts-contacts-service,0.0.1,1
ts-preserve-service,ts-order-service,0.0.1,1
ts-preserve-service,ts-food-service,0.0.1,1
ts-preserve-service,ts-consign-service,0.0.1,1
ts-security-service,ts-order-service,0.0.1,1
ts-security-service,ts-order-other-service,0.0.1,1
ts-consign-service,ts-consign-price-service,0.0.1,1
ts-order-service,ts-sso-service,0.0.1,1
ts-order-service,ts-station-service,0.0.1,1
ts-food-service,ts-food-map-service,0.0.1,1
ts-food-service,ts-travel-service,0.0.1,1
ts-food-service,ts-station-service,0.0.1,1
ts-rebook-service,ts-seat-service,0.0.1,1
ts-rebook-service,ts-sso-service,0.0.1,1
ts-rebook-service,ts-travel-service,0.0.1,1
ts-rebook-service,ts-travel2-service,0.0.1,1
ts-rebook-service,ts-order-service,0.0.1,1
ts-rebook-service,ts-order-other-service,0.0.1,1
ts-rebook-service,ts-station-service,0.0.1,1
ts-rebook-service,ts-inside-payment-service,0.0.1,1
ts-register-service,ts-verification-code-service,0.0.1,1
ts-register-service,ts-sso-service,0.0.1,1
ts-register-service,ts-inside-payment-service,0.0.1,1
ts-admin-basic-info-service,ts-contacts-service,0.0.1,1
ts-admin-basic-info-service,ts-station-service,0.0.1,1
ts-admin-basic-info-service,ts-train-service,0.0.1,1
ts-admin-basic-info-service,ts-config-service,0.0.1,1
ts-admin-basic-info-service,ts-price-service,0.0.1,1
