MS_system,Package,A,CCRC,Ca,Ce,NOC,NOI,PkgRCi,PkgTCi,TLOC,DMS,I
train-ticket-0.0.1,sso,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,,
train-ticket-0.0.1,fdse.microservice.controller,0.0,400.0,0.0,1.0,1.0,0.0,2.666666667,8.0,12.0,0.0,1.0
train-ticket-0.0.1,fdse.microservice.domain,0.0,33.333333333,3.0,0.0,18.0,0.0,1.340229885,194.333333333,560.0,1.0,0.0
train-ticket-0.0.1,fdse.microservice.service,0.5,750.0,1.0,2.0,2.0,1.0,48.55,388.4,84.0,0.166666667,0.666666667
train-ticket-0.0.1,org.myproject.ms.monitoring,0.384615385,103.846153846,53.0,0.0,26.0,10.0,2.147579143,384.416666667,1128.0,0.615384615,0.0
train-ticket-0.0.1,org.myproject.ms.monitoring.antn,0.1875,150.0,0.0,8.0,16.0,3.0,1.87797619,105.166666667,409.0,0.1875,1.0
train-ticket-0.0.1,org.myproject.ms.monitoring.atcfg,0.0,400.0,5.0,1.0,3.0,0.0,1.458333333,17.5,66.0,0.833333333,0.166666667
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.async,0.0,256.25,2.0,11.0,16.0,0.0,4.565853659,374.4,489.0,0.153846154,0.846153846
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.messaging.websocket,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,14.0,0.0,1.0
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.msg,0.272727273,300.0,1.0,9.0,11.0,3.0,5.246666667,209.866666667,332.0,0.172727273,0.9
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.rest,0.25,100.0,0.0,4.0,4.0,1.0,2.416666667,29.0,197.0,0.25,1.0
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.schedl,0.0,266.666666667,1.0,2.0,3.0,0.0,3.914285714,27.4,47.0,0.333333333,0.666666667
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.web,0.107142857,178.571428571,2.0,16.0,28.0,3.0,2.285251701,399.919047619,1169.0,0.003968254,0.888888889
train-ticket-0.0.1,fdse.microservice,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.web.client,0.071428571,157.142857143,0.0,12.0,14.0,1.0,2.204225352,156.5,497.0,0.071428571,1.0
train-ticket-0.0.1,org.myproject.ms.monitoring.mtc,0.125,125.0,0.0,2.0,8.0,1.0,1.523809524,32.0,148.0,0.125,1.0
train-ticket-0.0.1,org.myproject.ms.monitoring.spl,0.0,200.0,3.0,4.0,5.0,0.0,2.296296296,20.666666667,74.0,0.428571429,0.571428571
train-ticket-0.0.1,org.myproject.ms.monitoring.trace,0.2,320.0,1.0,5.0,5.0,1.0,9.617127496,298.130952381,243.0,0.033333333,0.833333333
train-ticket-0.0.1,org.myproject.ms.monitoring.util,0.0,50.0,12.0,2.0,4.0,0.0,1.269230769,16.5,83.0,0.857142857,0.142857143
train-ticket-0.0.1,food,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
train-ticket-0.0.1,food.controller,0.0,500.0,0.0,1.0,1.0,0.0,2.0,10.0,23.0,0.0,1.0
train-ticket-0.0.1,food.domain,0.0,57.142857143,6.0,0.0,7.0,0.0,1.0,47.0,168.0,1.0,0.0
train-ticket-0.0.1,food.init,0.0,0.0,0.0,1.0,1.0,0.0,1.5,3.0,68.0,0.0,1.0
train-ticket-0.0.1,food.repository,1.0,0.0,1.0,2.0,2.0,2.0,1.5,12.0,12.0,0.666666667,0.666666667
train-ticket-0.0.1,food.service,0.5,550.0,2.0,2.0,2.0,1.0,2.916666667,35.0,62.0,0.0,0.5
train-ticket-0.0.1,rebook,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
train-ticket-0.0.1,rebook.controller,0.0,300.0,0.0,1.0,1.0,0.0,10.611111111,31.833333333,13.0,0.0,1.0
train-ticket-0.0.1,org.myproject.ms.monitoring.lgger,0.166666667,216.666666667,2.0,3.0,6.0,1.0,4.811785714,96.235714286,108.0,0.233333333,0.6
train-ticket-0.0.1,com.lightbend.akka.sample,0.0,0.0,0.0,0.0,8.0,0.0,1.388888889,25.0,118.0,,
train-ticket-0.0.1,travel.service,0.5,1850.0,2.0,2.0,2.0,1.0,49.390647448,1382.938128538,321.0,0.0,0.5
