MS_system,Package,A,CCRC,Ca,Ce,NOC,NOI,PkgRCi,PkgTCi,TLOC,DMS,I
train-ticket-0.0.1,travel.repository,1.0,0.0,1.0,1.0,1.0,1.0,1.5,6.0,6.0,0.5,0.5
train-ticket-0.0.1,fdse.microservice.repository,1.0,0.0,1.0,1.0,1.0,1.0,1.666666667,5.0,5.0,0.5,0.5
train-ticket-0.0.1,fdse.microservice.service,0.5,700.0,2.0,2.0,2.0,1.0,5.547222222,99.85,89.0,0.0,0.5
train-ticket-0.0.1,hello,0.0,50.0,0.0,0.0,6.0,0.0,1.181818182,13.0,73.0,,
train-ticket-0.0.1,com.springsource.open.foo,0.25,25.0,2.0,0.0,4.0,1.0,1.145833333,18.333333333,66.0,0.75,0.0
train-ticket-0.0.1,com.springsource.open.foo.async,0.25,75.0,0.0,1.0,4.0,1.0,0.25,3.0,73.0,0.25,1.0
train-ticket-0.0.1,com.springsource.open.foo.sync,0.0,33.333333333,0.0,1.0,3.0,0.0,1.2,18.0,119.0,0.0,1.0
train-ticket-0.0.1,com.springsource.open.foo.test,0.0,0.0,0.0,0.0,2.0,0.0,0.75,3.0,35.0,,
train-ticket-0.0.1,consign,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
train-ticket-0.0.1,consign.controller,0.0,400.0,0.0,1.0,1.0,0.0,2.8,14.0,19.0,0.0,1.0
train-ticket-0.0.1,consign.domain,0.0,0.0,4.0,0.0,4.0,0.0,1.0,52.0,184.0,1.0,0.0
train-ticket-0.0.1,consign.repository,1.0,0.0,1.0,1.0,1.0,1.0,2.0,6.0,5.0,0.5,0.5
train-ticket-0.0.1,consign.service,0.5,450.0,1.0,2.0,2.0,1.0,92.5375,740.3,76.0,0.166666667,0.666666667
train-ticket-0.0.1,train,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,,
train-ticket-0.0.1,train.controller,0.0,400.0,0.0,1.0,1.0,0.0,2.666666667,16.0,21.0,0.0,1.0
train-ticket-0.0.1,train.domain,0.0,0.0,5.0,0.0,3.0,0.0,1.304347826,30.0,86.0,1.0,0.0
train-ticket-0.0.1,train.init,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,36.0,0.0,1.0
train-ticket-0.0.1,train.repository,1.0,0.0,1.0,1.0,1.0,1.0,1.333333333,4.0,5.0,0.5,0.5
train-ticket-0.0.1,train.service,0.5,400.0,2.0,2.0,2.0,1.0,18.367857143,183.678571429,54.0,0.0,0.5
train-ticket-0.0.1,example,0.0,0.0,0.0,0.0,8.0,0.0,0.846153846,11.0,277.0,,
train-ticket-0.0.1,ticketinfo,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
train-ticket-0.0.1,ticketinfo.controller,0.0,400.0,0.0,1.0,1.0,0.0,2.333333333,7.0,12.0,0.0,1.0
train-ticket-0.0.1,ticketinfo.domain,0.0,50.0,3.0,0.0,6.0,0.0,1.237288136,73.0,237.0,1.0,0.0
train-ticket-0.0.1,ticketinfo.service,0.5,350.0,1.0,2.0,2.0,1.0,3.0,12.0,19.0,0.166666667,0.666666667
train-ticket-0.0.1,travel,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
train-ticket-0.0.1,travel.controller,0.0,1400.0,0.0,1.0,1.0,0.0,6.230769231,81.0,56.0,0.0,1.0
train-ticket-0.0.1,travel.domain,0.0,58.333333333,5.0,0.0,24.0,0.0,1.131004367,259.0,848.0,1.0,0.0
train-ticket-0.0.1,travel.init,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,51.0,0.0,1.0
train-ticket-0.0.1,rebook.domain,0.0,36.111111111,3.0,0.0,36.0,0.0,1.806392694,527.466666667,1094.0,1.0,0.0
train-ticket-0.0.1,fdse.microservice.init,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,58.0,0.0,1.0
train-ticket-0.0.1,rebook.service,0.5,1200.0,1.0,2.0,2.0,1.0,149.479980192,2690.639643463,366.0,0.166666667,0.666666667
train-ticket-0.0.1,adminbasic.controller,0.0,1900.0,0.0,1.0,1.0,0.0,2.952380952,62.0,86.0,0.0,1.0
train-ticket-0.0.1,order.repository,1.0,0.0,1.0,1.0,1.0,1.0,1.8,9.0,7.0,0.5,0.5
train-ticket-0.0.1,order.service,0.5,2950.0,2.0,2.0,2.0,1.0,69.411443686,2707.046303739,429.0,0.0,0.5
train-ticket-0.0.1,travelplan,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
train-ticket-0.0.1,travelplan.controller,0.0,500.0,0.0,1.0,1.0,0.0,2.6,13.0,22.0,0.0,1.0
train-ticket-0.0.1,travelplan.domain,0.0,43.75,3.0,0.0,16.0,0.0,1.172222222,211.0,675.0,1.0,0.0
train-ticket-0.0.1,travelplan.service,0.5,850.0,1.0,2.0,2.0,1.0,133.952731092,2277.196428571,229.0,0.166666667,0.666666667
train-ticket-0.0.1,hello,0.0,0.0,0.0,0.0,2.0,0.0,1.333333333,4.0,16.0,,
train-ticket-0.0.1,adminuser,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
train-ticket-0.0.1,adminuser.controller,0.0,800.0,0.0,1.0,1.0,0.0,2.8,14.0,18.0,0.0,1.0
train-ticket-0.0.1,adminuser.domain.bean,0.0,0.0,4.0,0.0,2.0,0.0,1.0,30.0,112.0,1.0,0.0
train-ticket-0.0.1,adminuser.domain.request,0.0,25.0,3.0,1.0,4.0,0.0,1.0,28.0,100.0,0.75,0.25
train-ticket-0.0.1,adminuser.domain.response,0.0,75.0,3.0,3.0,4.0,0.0,1.0,26.0,93.0,0.5,0.5
train-ticket-0.0.1,order.init,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,59.0,0.0,1.0
train-ticket-0.0.1,adminuser.service,0.5,800.0,1.0,2.0,2.0,1.0,6.605555556,59.45,71.0,0.166666667,0.666666667
train-ticket-0.0.1,price.controller,0.0,500.0,0.0,1.0,1.0,0.0,2.833333333,17.0,21.0,0.0,1.0
train-ticket-0.0.1,price.domain,0.0,33.333333333,5.0,0.0,6.0,0.0,1.357142857,76.0,210.0,1.0,0.0
train-ticket-0.0.1,price.init,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,65.0,0.0,1.0
train-ticket-0.0.1,price.repository,1.0,0.0,1.0,1.0,1.0,1.0,2.0,6.0,5.0,0.5,0.5
train-ticket-0.0.1,price.service,0.5,450.0,2.0,2.0,2.0,1.0,40.263157895,483.157894737,114.0,0.0,0.5
train-ticket-0.0.1,hello,0.0,75.0,0.0,0.0,4.0,0.0,1.403508772,26.666666667,92.0,,
train-ticket-0.0.1,hello,0.0,40.0,0.0,0.0,5.0,0.0,1.307692308,17.0,67.0,,
train-ticket-0.0.1,notification,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,,
train-ticket-0.0.1,notification.config,0.0,50.0,0.0,0.0,2.0,0.0,1.0,8.0,33.0,,
train-ticket-0.0.1,notification.controller,0.0,200.0,0.0,1.0,1.0,0.0,2.6,13.0,18.0,0.0,1.0
train-ticket-0.0.1,notification.domain,0.0,0.0,4.0,0.0,2.0,0.0,1.0,41.0,145.0,1.0,0.0
train-ticket-0.0.1,notification.service,0.333333333,200.0,1.0,3.0,3.0,1.0,30.572222222,275.15,112.0,0.083333333,0.75
train-ticket-0.0.1,price,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
train-ticket-0.0.1,order.domain,0.0,40.0,5.0,0.0,35.0,0.0,1.858461538,483.2,1006.0,1.0,0.0
train-ticket-0.0.1,order.controller,0.0,2700.0,0.0,1.0,1.0,0.0,9.345454545,158.872727273,107.0,0.0,1.0
train-ticket-0.0.1,order,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
train-ticket-0.0.1,adminbasic.domin.bean,0.0,0.0,10.0,0.0,5.0,0.0,1.605555556,96.333333333,228.0,1.0,0.0
train-ticket-0.0.1,adminbasic.domin.info,0.0,0.0,4.0,0.0,8.0,0.0,1.0,68.0,245.0,1.0,0.0
train-ticket-0.0.1,adminbasic.domin.reuslt,0.0,88.888888889,3.0,8.0,9.0,0.0,1.054545455,58.0,209.0,0.272727273,0.727272727
train-ticket-0.0.1,adminbasic.service,0.5,1850.0,1.0,2.0,2.0,1.0,3.29375,131.75,265.0,0.166666667,0.666666667
train-ticket-0.0.1,com.trainticket,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,,
train-ticket-0.0.1,com.trainticket.controller,0.0,400.0,0.0,1.0,1.0,0.0,2.25,9.0,15.0,0.0,1.0
train-ticket-0.0.1,com.trainticket.domain,0.0,0.0,6.0,0.0,4.0,0.0,1.0,26.0,94.0,1.0,0.0
train-ticket-0.0.1,com.trainticket.init,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,12.0,0.0,1.0
train-ticket-0.0.1,com.trainticket.repository,1.0,0.0,2.0,2.0,2.0,2.0,1.75,7.0,8.0,0.5,0.5
train-ticket-0.0.1,com.trainticket.service,0.5,500.0,2.0,2.0,2.0,1.0,4.783333333,38.266666667,40.0,0.0,0.5
train-ticket-0.0.1,login,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
train-ticket-0.0.1,login.controller,0.0,500.0,0.0,1.0,1.0,0.0,23.740740741,71.222222222,23.0,0.0,1.0
train-ticket-0.0.1,login.domain,0.0,16.666666667,3.0,0.0,6.0,0.0,1.0,50.0,187.0,1.0,0.0
train-ticket-0.0.1,login.service,0.5,500.0,1.0,2.0,2.0,1.0,13.458333333,67.291666667,51.0,0.166666667,0.666666667
train-ticket-0.0.1,login.util,0.0,0.0,1.0,0.0,1.0,0.0,3.0,9.0,29.0,1.0,0.0
train-ticket-0.0.1,preserveOther,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
train-ticket-0.0.1,preserveOther.controller,0.0,300.0,0.0,1.0,1.0,0.0,5.625,11.25,10.0,0.0,1.0
train-ticket-0.0.1,preserveOther.domain,0.0,33.333333333,3.0,0.0,39.0,0.0,1.601675042,637.466666667,1484.0,1.0,0.0
train-ticket-0.0.1,preserveOther.service,0.5,1700.0,1.0,2.0,2.0,1.0,980.824455206,13731.542372881,315.0,0.166666667,0.666666667
train-ticket-0.0.1,adminorder,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
train-ticket-0.0.1,adminorder.controller,0.0,800.0,0.0,1.0,1.0,0.0,2.8,14.0,18.0,0.0,1.0
train-ticket-0.0.1,adminorder.domain.bean,0.0,0.0,7.0,0.0,2.0,0.0,6.08034188,237.133333333,157.0,1.0,0.0
train-ticket-0.0.1,adminorder.domain.request,0.0,66.666666667,3.0,2.0,3.0,0.0,1.0,17.0,61.0,0.6,0.4
train-ticket-0.0.1,adminorder.domain.response,0.0,80.0,3.0,4.0,5.0,0.0,1.088235294,37.0,123.0,0.428571429,0.571428571
train-ticket-0.0.1,adminorder.service,0.5,900.0,1.0,2.0,2.0,1.0,27.717460317,249.457142857,122.0,0.166666667,0.666666667
train-ticket-0.0.1,hello,0.0,0.0,0.0,0.0,2.0,0.0,1.333333333,4.0,15.0,,
train-ticket-0.0.1,hello,0.0,0.0,0.0,0.0,2.0,0.0,1.333333333,4.0,16.0,,
train-ticket-0.0.1,adminbasic,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
train-ticket-0.0.1,fdse.microservice.domain,0.0,0.0,5.0,0.0,8.0,0.0,1.236842105,47.0,137.0,1.0,0.0
train-ticket-0.0.1,hello,0.0,50.0,0.0,0.0,4.0,0.0,1.272727273,14.0,73.0,,
train-ticket-0.0.1,fdse.microservice,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,,
train-ticket-0.0.1,assurance,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
train-ticket-0.0.1,assurance.controller,0.0,1200.0,0.0,1.0,1.0,0.0,2.7,27.0,43.0,0.0,1.0
train-ticket-0.0.1,assurance.domain,0.0,25.0,4.0,0.0,12.0,0.0,1.042857143,73.0,263.0,1.0,0.0
train-ticket-0.0.1,assurance.init,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,,
train-ticket-0.0.1,assurance.repository,1.0,0.0,1.0,1.0,1.0,1.0,1.4,7.0,7.0,0.5,0.5
train-ticket-0.0.1,assurance.service,0.5,950.0,1.0,2.0,2.0,1.0,8.638392857,138.214285714,130.0,0.166666667,0.666666667
train-ticket-0.0.1,hello,0.0,25.0,0.0,0.0,4.0,0.0,1.142857143,8.0,35.0,,
train-ticket-0.0.1,register,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
train-ticket-0.0.1,register.controller,0.0,300.0,0.0,1.0,1.0,0.0,2.0,4.0,10.0,0.0,1.0
train-ticket-0.0.1,register.domain,0.0,25.0,3.0,0.0,4.0,0.0,1.0,42.0,161.0,1.0,0.0
train-ticket-0.0.1,register.service,0.5,350.0,1.0,2.0,2.0,1.0,14.833333333,29.666666667,39.0,0.166666667,0.666666667
train-ticket-0.0.1,sample.atomikos,0.166666667,83.333333333,0.0,0.0,6.0,1.0,1.444444444,13.0,65.0,,
train-ticket-0.0.1,fdse.microservice.controller,0.0,900.0,0.0,1.0,1.0,0.0,3.181818182,35.0,39.0,0.0,1.0
train-ticket-0.0.1,admintravel,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
train-ticket-0.0.1,admintravel.domain.bean,0.0,66.666666667,2.0,0.0,6.0,0.0,1.310344828,76.0,236.0,1.0,0.0
train-ticket-0.0.1,admintravel.domain.request,0.0,0.0,3.0,0.0,2.0,0.0,1.0,24.0,85.0,1.0,0.0
train-ticket-0.0.1,admintravel.domain.response,0.0,50.0,3.0,1.0,2.0,0.0,1.0,12.0,43.0,0.75,0.25
train-ticket-0.0.1,admintravel.service,0.5,500.0,1.0,2.0,2.0,1.0,12.888888889,116.0,116.0,0.166666667,0.666666667
train-ticket-0.0.1,config,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
train-ticket-0.0.1,config.controller,0.0,400.0,0.0,1.0,1.0,0.0,2.714285714,19.0,24.0,0.0,1.0
train-ticket-0.0.1,config.domain,0.0,0.0,5.0,0.0,3.0,0.0,1.214285714,17.0,57.0,1.0,0.0
train-ticket-0.0.1,config.init,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,10.0,0.0,1.0
train-ticket-0.0.1,config.repository,1.0,0.0,1.0,1.0,1.0,1.0,1.333333333,4.0,5.0,0.5,0.5
train-ticket-0.0.1,config.service,0.5,400.0,2.0,2.0,2.0,1.0,7.479166667,89.75,57.0,0.0,0.5
train-ticket-0.0.1,foodsearch,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
train-ticket-0.0.1,foodsearch.controller,0.0,1200.0,0.0,1.0,1.0,0.0,4.442857143,31.1,31.0,0.0,1.0
train-ticket-0.0.1,admintravel.controller,0.0,500.0,0.0,1.0,1.0,0.0,2.8,14.0,18.0,0.0,1.0
train-ticket-0.0.1,consignprice.repository,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,0.5,0.5
train-ticket-0.0.1,consignprice.init,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,14.0,0.0,1.0
train-ticket-0.0.1,consignprice.domain,0.0,0.0,5.0,0.0,2.0,0.0,1.0,18.0,64.0,1.0,0.0
train-ticket-0.0.1,sso.controller,0.0,2000.0,0.0,1.0,1.0,0.0,11.022727273,132.272727273,64.0,0.0,1.0
train-ticket-0.0.1,sso.domain,0.0,28.571428571,6.0,0.0,21.0,0.0,1.174897119,190.333333333,603.0,1.0,0.0
train-ticket-0.0.1,sso.init,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,23.0,0.0,1.0
train-ticket-0.0.1,sso.repository,1.0,0.0,1.0,2.0,2.0,2.0,1.571428571,11.0,11.0,0.666666667,0.666666667
train-ticket-0.0.1,sso.service,0.5,1950.0,2.0,2.0,2.0,1.0,27.166281513,651.990756303,237.0,0.0,0.5
train-ticket-0.0.1,plan,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
train-ticket-0.0.1,plan.controller,0.0,300.0,0.0,1.0,1.0,0.0,12.7,50.8,18.0,0.0,1.0
train-ticket-0.0.1,plan.domain,0.0,52.941176471,3.0,0.0,17.0,0.0,1.2,198.0,616.0,1.0,0.0
train-ticket-0.0.1,plan.service,0.5,1000.0,1.0,2.0,2.0,1.0,186.922328549,2056.145614035,249.0,0.166666667,0.666666667
train-ticket-0.0.1,travel2,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
train-ticket-0.0.1,travel2.controller,0.0,1400.0,0.0,1.0,1.0,0.0,6.230769231,81.0,56.0,0.0,1.0
train-ticket-0.0.1,travel2.domain,0.0,58.333333333,5.0,0.0,24.0,0.0,1.13215859,257.0,844.0,1.0,0.0
train-ticket-0.0.1,travel2.init,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,51.0,0.0,1.0
train-ticket-0.0.1,travel2.repository,1.0,0.0,1.0,1.0,1.0,1.0,1.5,6.0,6.0,0.5,0.5
train-ticket-0.0.1,travel2.service,0.5,1850.0,2.0,2.0,2.0,1.0,49.000341325,1372.00955711,311.0,0.0,0.5
train-ticket-0.0.1,cancel,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
train-ticket-0.0.1,cancel.controller,0.0,500.0,0.0,1.0,1.0,0.0,8.333333333,33.333333333,48.0,0.0,1.0
train-ticket-0.0.1,cancel.domain,0.0,28.571428571,3.0,0.0,14.0,0.0,2.560104987,325.133333333,480.0,1.0,0.0
train-ticket-0.0.1,cancel.service,0.5,850.0,1.0,2.0,2.0,1.0,168.050440379,2016.605284553,270.0,0.166666667,0.666666667
train-ticket-0.0.1,com.trainticket.verificationcode,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,,
train-ticket-0.0.1,com.trainticket.verificationcode.controller,0.0,100.0,0.0,1.0,1.0,0.0,3.0,9.0,22.0,0.0,1.0
train-ticket-0.0.1,com.trainticket.verificationcode.domain,0.0,0.0,2.0,0.0,1.0,0.0,1.333333333,8.0,22.0,1.0,0.0
train-ticket-0.0.1,com.trainticket.verificationcode.repository,1.0,0.0,1.0,1.0,1.0,1.0,1.666666667,5.0,5.0,0.5,0.5
train-ticket-0.0.1,com.trainticket.verificationcode.service,0.5,150.0,1.0,1.0,2.0,1.0,4.966666667,24.833333333,93.0,0.0,0.5
train-ticket-0.0.1,com.trainticket.verificationcode.util,0.0,0.0,1.0,0.0,1.0,0.0,3.0,9.0,29.0,1.0,0.0
train-ticket-0.0.1,consignprice,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
train-ticket-0.0.1,consignprice.controller,0.0,300.0,0.0,1.0,1.0,0.0,2.4,12.0,18.0,0.0,1.0
train-ticket-0.0.1,foodsearch.domain,0.0,52.380952381,4.0,0.0,21.0,0.0,1.01910828,160.0,572.0,1.0,0.0
train-ticket-0.0.1,foodsearch.repository,1.0,0.0,1.0,1.0,1.0,1.0,1.4,7.0,7.0,0.5,0.5
train-ticket-0.0.1,consignprice.service,0.5,300.0,2.0,2.0,2.0,1.0,24.125757576,193.006060606,57.0,0.0,0.5
train-ticket-0.0.1,preserve,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
train-ticket-0.0.1,seat.service,0.5,550.0,1.0,2.0,2.0,1.0,210.455185185,1262.731111111,154.0,0.166666667,0.666666667
train-ticket-0.0.1,contacts,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
train-ticket-0.0.1,contacts.controller,0.0,1200.0,0.0,1.0,1.0,0.0,7.949074074,71.541666667,84.0,0.0,1.0
train-ticket-0.0.1,contacts.domain,0.0,36.363636364,5.0,0.0,11.0,0.0,1.308016878,103.333333333,299.0,1.0,0.0
train-ticket-0.0.1,contacts.init,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,21.0,0.0,1.0
train-ticket-0.0.1,contacts.repository,1.0,0.0,1.0,1.0,1.0,1.0,1.5,6.0,6.0,0.5,0.5
train-ticket-0.0.1,contacts.service,0.5,800.0,2.0,2.0,2.0,1.0,10.916666667,152.833333333,97.0,0.0,0.5
train-ticket-0.0.1,other,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
train-ticket-0.0.1,other.controller,0.0,2700.0,0.0,1.0,1.0,0.0,9.345454545,158.872727273,107.0,0.0,1.0
train-ticket-0.0.1,other.domain,0.0,40.0,5.0,0.0,35.0,0.0,1.858461538,483.2,1006.0,1.0,0.0
train-ticket-0.0.1,other.init,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,23.0,0.0,1.0
train-ticket-0.0.1,other.repository,1.0,0.0,1.0,1.0,1.0,1.0,1.8,9.0,7.0,0.5,0.5
train-ticket-0.0.1,other.service,0.5,2950.0,2.0,2.0,2.0,1.0,69.411443686,2707.046303739,428.0,0.0,0.5
train-ticket-0.0.1,inside_payment,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
train-ticket-0.0.1,inside_payment.async,0.0,50.0,0.0,1.0,2.0,0.0,1.333333333,4.0,34.0,0.0,1.0
train-ticket-0.0.1,inside_payment.controller,0.0,900.0,0.0,1.0,1.0,0.0,2.6,26.0,36.0,0.0,1.0
train-ticket-0.0.1,inside_payment.domain,0.0,6.25,7.0,0.0,16.0,0.0,2.555729167,327.133333333,477.0,1.0,0.0
train-ticket-0.0.1,inside_payment.init,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,18.0,0.0,1.0
train-ticket-0.0.1,inside_payment.repository,1.0,0.0,2.0,2.0,2.0,2.0,1.666666667,10.0,10.0,0.5,0.5
train-ticket-0.0.1,inside_payment.service,0.5,1300.0,2.0,2.0,2.0,1.0,30.087857143,601.757142857,243.0,0.0,0.5
train-ticket-0.0.1,inside_payment.util,0.0,0.0,1.0,0.0,1.0,0.0,3.0,9.0,29.0,1.0,0.0
train-ticket-0.0.1,security,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
train-ticket-0.0.1,security.controller,0.0,1000.0,0.0,1.0,1.0,0.0,2.333333333,14.0,26.0,0.0,1.0
train-ticket-0.0.1,security.domain,0.0,23.076923077,5.0,0.0,13.0,0.0,2.801212121,308.133333333,411.0,1.0,0.0
train-ticket-0.0.1,security.init,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,15.0,0.0,1.0
train-ticket-0.0.1,security.repository,1.0,0.0,1.0,1.0,1.0,1.0,1.5,6.0,6.0,0.5,0.5
train-ticket-0.0.1,foodsearch.service,0.5,1450.0,1.0,2.0,2.0,1.0,47.119475867,565.433710407,183.0,0.166666667,0.666666667
train-ticket-0.0.1,seat.domain,0.0,33.333333333,3.0,0.0,9.0,0.0,1.169230769,76.0,237.0,1.0,0.0
train-ticket-0.0.1,seat.controller,0.0,300.0,0.0,1.0,1.0,0.0,2.333333333,7.0,12.0,0.0,1.0
train-ticket-0.0.1,security.service,0.5,1150.0,2.0,2.0,2.0,1.0,23.722619048,284.671428571,112.0,0.0,0.5
