MS_system,Package,Class,Aa,Ad,Ai,Ait,Ao,Av,ClRCi,ClTCi,DIT,HMd,HMi,MHF,MIF,Ma,Md,Mi,Mit,Mo,NF,NM,NMA,NMI,NOA,NOCh,NOD,NOL,NOPa,NORM,NPF,NPM,NSF,NSM,PMR,PMd,PMi,RTLOC,SIX,TLOC,WMC,AHF,AIF,LCOM*,NMIR,PF
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.msg,ITCInter,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,20.0,0.0,13.0,3.0,,,,,
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.msg,MSTMExtra,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,2.0,0.0,,,,,
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.msg,MSTMInject,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,2.0,0.0,,,,,
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.msg,MTMap,1.0,1.0,0.0,0.0,0.0,0.0,1.666666667,5.0,2.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,35.0,1.333333333,26.0,5.0,0.0,0.0,0.0,,
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.msg,TCInter,1.0,0.0,1.0,1.0,0.0,0.0,3.708333333,29.666666667,2.0,3.0,5.0,0.625,0.466666667,15.0,8.0,7.0,7.0,0.0,0.0,7.0,8.0,7.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,4.0,0.0,0.0,0.333333333,5.0,0.0,93.0,0.0,76.0,20.0,,1.0,,100.0,
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.msg,TMHead,9.0,9.0,0.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,9.0,0.0,0.0,0.0,0.0,15.0,0.0,13.0,1.0,1.0,0.0,,,
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.msg,TSIAConf,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0,5.0,1.0,,,,,
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.msg,TSMAConf,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,17.0,0.0,8.0,2.0,,,,,
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.rest,SHAConf,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,5.0,1.0,,,,,
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.rest,SHCStra,5.0,5.0,0.0,0.0,0.0,0.0,3.0,12.0,1.0,1.0,0.0,0.75,0.0,4.0,4.0,0.0,0.0,0.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.75,3.0,0.0,131.0,0.0,99.0,9.0,0.0,0.0,0.6,,
