MS_system,Package,SQ reliability remediation effort,Security rating,Critical violations,Violations,Sqale rating,Cognitive complexity,Minor violations,Info violations,Security remediation effort,SQ maintainability remediation effort,Security hotspots,Effort to reach rating A,Duplicated blocks,Reliability remediation effort,Reliability rating,Code smells,SQ security remediation effort,Bugs,Major violations
train-ticket-0.0.1,ts.trainticket.adapter,0,1.0,0,1,1.0,0,0,0,0,5,0,0,0,0,1.0,1,0,0,1
train-ticket-0.0.1,travel,15,1.0,9,81,1.0,68,43,0,0,740,0,0,62,15,3.0,80,0,1,29
train-ticket-0.0.1,travel2,15,1.0,9,111,1.0,60,73,0,0,1051,0,0,63,15,3.0,110,0,1,29
train-ticket-0.0.1,travelplan,0,1.0,3,44,1.0,20,26,0,0,341,0,0,35,0,1.0,44,0,0,15
train-ticket-0.0.1,ts.trainticket,115,1.0,69,557,1.0,784,341,5,0,2680,23,0,117,115,3.0,540,0,17,142
train-ticket-0.0.1,org.myproject.ms.monitoring.lgger,0,1.0,3,3,1.0,9,0,0,0,15,0,0,0,0,1.0,3,0,0,0
train-ticket-0.0.1,com.lightbend.akka.sample,0,1.0,2,14,1.0,1,9,0,0,54,0,0,0,0,1.0,14,0,0,3
train-ticket-0.0.1,example,0,1.0,1,40,1.0,10,15,0,0,248,131,0,9,0,1.0,40,0,0,24
train-ticket-0.0.1,org.services.analysis,40,1.0,90,435,2.0,1054,110,5,0,3168,4,284,87,40,5.0,431,0,4,228
train-ticket-0.0.1,org.services.analysis,110,1.0,52,228,1.0,740,104,3,0,1987,8,0,49,110,5.0,214,0,14,59
train-ticket-0.0.1,ts.trainticket.Meituan,10,1.0,2,17,1.0,105,9,0,0,169,0,0,2,10,2.0,15,0,2,6
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.messaging.websocket,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
train-ticket-0.0.1,org.myproject.ms.monitoring.instrument.msg,5,1.0,1,6,1.0,63,2,2,0,7,1,0,0,5,4.0,5,0,1,1
train-ticket-0.0.1,org.myproject.ms.monitoring.mtc,0,1.0,2,2,1.0,5,0,0,0,10,0,0,0,0,1.0,2,0,0,0
train-ticket-0.0.1,travel2.repository,0,1.0,0,1,1.0,0,1,0,0,10,0,0,0,0,1.0,1,0,0,0
train-ticket-0.0.1,route.repository,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
train-ticket-0.0.1,travel.repository,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
train-ticket-0.0.1,consign.repository,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
train-ticket-0.0.1,other.repository,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
train-ticket-0.0.1,sso.repository,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
train-ticket-0.0.1,contacts.repository,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
train-ticket-0.0.1,food.repository,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
train-ticket-0.0.1,price.repository,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
train-ticket-0.0.1,security.repository,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
train-ticket-0.0.1,order.repository,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
train-ticket-0.0.1,inside_payment.repository,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
train-ticket-0.0.1,foodsearch.repository,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
train-ticket-0.0.1,assurance.repository,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
train-ticket-0.0.1,train,15,1.0,0,8,1.0,7,0,0,0,35,0,0,11,15,3.0,7,0,1,8
train-ticket-0.0.1,ticketinfo,0,1.0,0,10,1.0,4,6,0,0,84,0,0,22,0,1.0,10,0,0,4
train-ticket-0.0.1,sso,15,1.0,5,54,1.0,47,8,0,0,462,3,0,31,15,2.0,53,0,1,41
train-ticket-0.0.1,security,15,1.0,1,23,1.0,19,7,0,0,201,0,0,20,15,2.0,22,0,1,15
train-ticket-0.0.1,food,0,1.0,8,35,1.0,13,3,0,0,251,2,0,6,0,1.0,35,0,0,24
train-ticket-0.0.1,foodsearch,0,1.0,14,46,1.0,50,5,1,0,352,0,0,28,0,1.0,46,0,0,26
train-ticket-0.0.1,hello,15,1.0,1,6,1.0,6,2,0,0,30,3,0,4,15,3.0,5,0,1,3
train-ticket-0.0.1,hello,0,1.0,2,18,1.0,0,1,0,0,143,0,0,2,0,1.0,18,0,0,15
train-ticket-0.0.1,hello,15,1.0,1,13,1.0,5,5,1,0,40,1,0,1,15,3.0,12,0,1,6
train-ticket-0.0.1,hello,15,1.0,1,10,1.0,6,2,1,0,21,1,0,2,15,3.0,9,0,1,6
train-ticket-0.0.1,hello,0,1.0,0,18,1.0,1,4,1,0,140,0,0,3,0,1.0,18,0,0,13
train-ticket-0.0.1,hello,0,1.0,1,13,1.0,1,1,0,0,51,0,0,3,0,1.0,13,0,0,11
train-ticket-0.0.1,hello,0,1.0,0,6,1.0,3,0,0,0,75,0,0,0,0,1.0,6,0,0,6
train-ticket-0.0.1,hello,0,1.0,1,4,1.0,0,1,0,0,25,0,0,1,0,1.0,4,0,0,2
train-ticket-0.0.1,hello,0,1.0,0,2,1.0,0,1,0,0,10,0,0,1,0,1.0,2,0,0,1
train-ticket-0.0.1,hello,0,1.0,0,1,1.0,0,1,0,0,5,0,0,0,0,1.0,1,0,0,0
train-ticket-0.0.1,hello,0,1.0,0,2,1.0,0,1,0,0,10,0,0,1,0,1.0,2,0,0,1
train-ticket-0.0.1,train.repository,0,1.0,0,2,1.0,0,0,0,0,10,0,0,0,0,1.0,2,0,0,2
train-ticket-0.0.1,hello,0,1.0,1,2,1.0,0,0,0,0,7,0,0,0,0,1.0,2,0,0,1
train-ticket-0.0.1,login,2,1.0,0,22,1.0,19,7,0,0,134,1,0,14,2,3.0,21,0,1,15
train-ticket-0.0.1,notification,0,1.0,8,23,1.0,4,14,0,0,116,4,0,6,0,1.0,23,0,0,1
train-ticket-0.0.1,order,45,1.0,18,109,1.0,117,36,0,0,1002,0,0,85,45,2.0,106,0,3,55
train-ticket-0.0.1,other,45,1.0,12,96,1.0,117,30,0,0,858,0,0,85,45,2.0,93,0,3,54
train-ticket-0.0.1,plan,0,1.0,3,59,1.0,39,29,0,0,521,0,0,38,0,1.0,59,0,0,27
train-ticket-0.0.1,preserve,30,1.0,8,104,1.0,85,32,2,0,818,1,0,113,30,2.0,102,0,2,62
train-ticket-0.0.1,preserveOther,30,1.0,8,154,1.0,88,81,1,0,1331,1,0,111,30,2.0,152,0,2,64
train-ticket-0.0.1,price,0,1.0,3,11,1.0,14,3,0,0,104,0,0,44,0,1.0,11,0,0,5
train-ticket-0.0.1,rebook,30,1.0,5,55,1.0,97,18,0,0,334,0,0,68,30,2.0,53,0,2,32
train-ticket-0.0.1,register,0,1.0,0,15,1.0,9,5,0,0,87,2,0,13,0,1.0,15,0,0,10
train-ticket-0.0.1,route,0,1.0,4,17,1.0,14,10,0,0,147,0,0,15,0,1.0,17,0,0,3
train-ticket-0.0.1,sample.atomikos,0,1.0,0,5,1.0,2,0,0,0,60,0,0,0,0,1.0,5,0,0,5
train-ticket-0.0.1,seat,5,1.0,4,40,1.0,26,4,0,0,310,1,0,18,5,4.0,39,0,1,32
train-ticket-0.0.1,inside_payment,65,1.0,9,52,1.0,67,17,0,0,328,0,0,32,65,3.0,46,0,6,26
train-ticket-0.0.1,fdse.microservice,15,1.0,4,33,1.0,14,14,0,0,246,0,0,38,15,2.0,32,0,1,15
train-ticket-0.0.1,fdse.microservice.repository,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
train-ticket-0.0.1,consignprice.repository,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
train-ticket-0.0.1,register.service,0,1.0,0,13,1.0,3,4,0,0,75,0,0,0,0,1.0,13,0,0,9
train-ticket-0.0.1,admintravel.service,0,1.0,0,21,1.0,28,2,0,0,153,0,0,5,0,1.0,21,0,0,19
