Microservice,Taylor_MNC,Yin_MNC,Liu_MNC,Huang_MNC
ts-admin-basic-info-service,1.3824275770885182e-17,0.1069417334542898,2.1693099875317193e-18,0.0
ts-admin-order-service,2.210577527176693e-20,0.09780161193804657,1.0760301448002255e-17,0.0
ts-admin-route-service,1.607164964129784e-23,0.0038918875710854044,3.1213935915284695e-19,0.0
ts-admin-travel-service,0.6170978753005282,0.024577489319232537,0.34276375736408465,0.13819285108573834
ts-admin-user-service,1.5367379459185107e-25,2.494234130238781e-18,1.4526281467007074e-16,0.0
ts-assurance-service,1.529939864029251e-25,1.8578987960336278e-18,0.0,0.0
ts-auth-service,3.6956994195379884e-32,1.0640866903786634e-17,7.33514539664328e-19,0.0
ts-basic-service,2.482496519394319e-16,0.1182398791145945,2.2599382019270686e-19,0.0
ts-cancel-service,3.816928828368664e-18,0.10457960072508682,4.357285867667647e-19,0.0
ts-config-service,1.9025624164297163e-17,1.499525791336966e-16,0.0,0.0
ts-consign-price-service,3.572672655037433e-17,5.830007735025076e-17,0.0,0.0
ts-consign-service,6.020350417383007e-17,2.2128022027067414e-17,1.0392896242360032e-17,0.0
ts-contacts-service,4.700799668191134e-17,6.744990346569262e-18,0.0,0.0
ts-execute-service,4.2451464103429746e-17,0.09780161193804657,1.82263209216828e-17,0.0
ts-food-delivery-service,7.153751642801543e-18,0.0,0.0,0.0
ts-food-map-service,3.5607345576360665e-17,1.8668066121888095e-17,0.0,0.0
ts-food-service,0.30854893765026414,0.1496440749031015,0.19456285620090025,0.048109028844729715
ts-inside-payment-service,3.2550512144880205e-18,0.1229748637781944,3.144884638707226e-20,0.0
ts-login-service,2.629461155491206e-19,0.0,0.0,0.0
ts-notification-service,2.8783541353455915e-19,6.529722639961328e-17,0.0,0.0
ts-order-other-service,7.667659473353988e-20,0.5653642991176437,5.354100700872118e-19,0.0
ts-order-service,2.3608287185761233e-20,1.2090765096906193,1.0782029329209902e-19,0.0
ts-payment-service,2.355509403718696e-21,1.4767637406508585e-19,0.0,0.0
ts-preserve-other-service,0.9587064725103522,0.17610157679915475,1.1979531219289818,0.10154530185842034
ts-preserve-service,0.958706472510352,0.2217021585427839,1.1979531219289812,0.10154530185842028
ts-price-service,4.044537243925067e-21,1.6712321181832114e-21,0.0,0.0
ts-rebook-service,0.7558955684733448,0.21181762256694184,0.6314969013957077,0.14641672148926413
ts-register-service,1.2653360209653865e-18,0.0005734281840185174,1.4779907729570826e-20,0.0
ts-route-plan-service,0.6170978753005281,0.1381652622485181,0.4388966796016932,0.20638836494645318
ts-route-service,2.422901688054347e-23,8.741252328476819e-18,0.0,0.0
ts-seat-service,0.592199817393422,0.30458811782321105,0.48495061045209004,0.02381240877139805
ts-security-service,2.2113487633426505e-20,0.12297486377819444,1.1586801700771879e-17,0.0
ts-sso-service,4.527785411334475e-25,0.0,0.0,0.0
ts-station-food-service,5.048626658956478e-25,0.0,0.0,0.0
ts-station-service,6.454241911926598e-26,1.9402724785987608,0.0,0.0
ts-ticketinfo-service,4.2353277668356303e-16,0.012485764231182129,8.044069190977737e-19,0.0
ts-train-food-service,9.27235274854162e-27,0.0,0.0,0.0
ts-train-service,4.5374098071520195e-28,7.355807792999538e-18,0.0,0.0
ts-travel-plan-service,1.4889190983089213,0.14882680143087562,1.2254457504400518,0.509473308456849
ts-travel-service,0.4284938467117826,0.2794678745394725,0.34373498918508794,0.06803644106481525
ts-travel2-service,0.42849384671178253,0.09583653168973431,0.34373498918508794,0.06803644106481525
ts-user-service,1.6798172134553615e-29,6.870740452172249e-17,1.3637444866874945e-19,0.0
ts-verification-code-service,3.3236523209900865e-31,9.657443617906491e-18,0.0,0.0
