MS_system,Microservice,Taylor_JC,Yin_JC,Liu_JC,Huang_JC,Taylor_CC,Yin_CC,Liu_CC,Huang_CC,Taylor_TAC,Taylor_FOM,Taylor_FOM_NORM
train-ticket-0.0.1,ts-admin-basic-info-service,6.121579164432011e-18,0.009700139293102025,2.007721167361184e-18,0.0,1.0151531482595027e-17,0.01757243397111895,3.0396759927603915e-18,0.0,0.0,4284604125830851.0,0.10159845915092619
train-ticket-0.0.1,ts-admin-order-service,8.44679666302346e-21,0.00831377626406982,4.366742471441417e-19,0.0,1.4007484008371454e-20,0.015060947068555286,6.611217968306547e-19,0.0,0.0,5690458042421017.0,0.13493469921468193
train-ticket-0.0.1,ts-admin-route-service,6.923402241658825e-24,3.239838134819667e-19,3.588784738926206e-23,0.0,1.148120998438313e-23,5.869177748995544e-19,5.433395329709349e-23,0.0,0.0,1434580892151254.2,0.03401742702230747
train-ticket-0.0.1,ts-admin-travel-service,0.05067308490721721,0.001781475976517535,0.03317235302630063,9.664395788608055e-50,0.08403214316735146,0.003227259735409222,0.05022271357030471,0.048317504061873955,0.0,6061360926801134.0,0.1437297151463689
train-ticket-0.0.1,ts-admin-user-service,1.0073166214414813e-25,0.0,0.0,0.0,1.6704523654482957e-25,0.0,0.0,0.0,0.0,0.0,0.0
train-ticket-0.0.1,ts-assurance-service,1.0028381260530248e-25,6.653919743394298e-20,0.0,0.0,1.6630255911292232e-25,1.2054008896869068e-19,0.0,0.0,0.11799424665690383,1484680556943967.5,0.035205412795889415
train-ticket-0.0.1,ts-auth-service,4.51395660921828e-33,0.0,0.0,0.0,7.485580337798179e-33,0.0,0.0,0.0,0.0,0.0,0.0
train-ticket-0.0.1,ts-basic-service,7.816258401835186e-17,0.010777932474032909,5.317111214640298e-24,0.0,1.2961850383860872e-16,0.01952492650077762,8.050069687327057e-24,0.0,0.06050013585016839,4141335692210437.0,0.09820121364741584
train-ticket-0.0.1,ts-cancel-service,3.060269439326813e-18,0.008887204448088337,5.234897305675692e-19,0.0,5.074903178423907e-18,0.016099749563691583,7.92559839648583e-19,0.0,5.551115123125783e-17,6889068379564874.0,0.1633566863574436
train-ticket-0.0.1,ts-config-service,1.2078473689095605e-17,9.805756831202002e-20,0.0,0.0,2.0029963286103568e-17,1.7763767018859182e-19,0.0,0.0,0.10058975129993608,1265685846676035.5,0.03001251177819951
train-ticket-0.0.1,ts-consign-price-service,2.621048332103649e-17,2.890084783284209e-17,0.0,0.0,4.346534439242552e-17,5.2355767778832063e-17,0.0,0.0,0.03167121420794925,398507870354698.8,0.009449597768779456
train-ticket-0.0.1,ts-consign-service,3.640703151909336e-17,2.602567382436636e-19,1.0453683185356268e-22,0.0,6.037447474359302e-17,4.71472028404558e-19,1.5826804205194713e-22,0.0,0.12595775631857772,1704814421524927.2,0.040425325952750134
train-ticket-0.0.1,ts-contacts-service,3.0826021594277e-17,1.6952158402436534e-19,0.0,0.0,5.111937954109467e-17,3.0709938815682956e-19,0.0,0.0,0.11799424665690263,1484680556943952.2,0.035205412795889054
train-ticket-0.0.1,ts-execute-service,2.7625661380583215e-17,0.00831377626406982,2.423253998710085e-19,0.0,4.5812161159647586e-17,0.015060947068555286,3.668789831967019e-19,0.0,1.3877787807814457e-17,5690458042421017.0,0.13493469921468193
train-ticket-0.0.1,ts-food-delivery-service,5.4790803426705e-18,0.0,0.0,0.0,9.086063432367278e-18,0.0,0.0,0.0,0.0,0.0,0.0
train-ticket-0.0.1,ts-food-map-service,2.3461434559544263e-17,2.6819142627341153e-20,0.0,0.0,3.8906544399831357e-17,4.858462324516407e-20,0.0,0.0,0.031671214207949445,398507870354701.25,0.009449597768779513
train-ticket-0.0.1,ts-food-service,0.02533654245360862,0.01377839119401816,0.018955630263870146,0.0,0.04201607158367575,0.02496045285218816,0.028698693412919973,0.0,0.12595775631857772,3319006793125823.0,0.07870178111907854
train-ticket-0.0.1,ts-inside-payment-service,1.986071043218943e-18,0.010403860943394539,3.923748922699321e-20,0.0,3.2935394904393342e-18,0.018847271564699265,5.940528792464014e-20,0.0,0.04736983076248702,5921655845173717.0,0.14041696544720095
train-ticket-0.0.1,ts-login-service,2.1955931328360023e-19,0.0,0.0,0.0,3.6409939677750077e-19,0.0,0.0,0.0,6.776263578034403e-21,8.52633672240713e-05,2.0218032932751774e-21
train-ticket-0.0.1,ts-notification-service,1.9167726128770384e-19,8.556740876117971e-19,0.0,0.0,3.178620581704526e-19,1.5501093284349403e-18,0.0,0.0,0.11799424665690263,1484680556943952.2,0.035205412795889054
train-ticket-0.0.1,ts-order-other-service,5.580102899748872e-20,0.048932448086859676,4.946718506840582e-19,0.0,9.253591065529644e-20,0.08864431603193716,7.489297683676726e-19,0.0,0.3272512756040135,4281164759513301.5,0.10151690335065705
train-ticket-0.0.1,ts-order-service,1.8294495704782895e-20,0.10190661873355222,1.0460977615863614e-19,0.0,3.033811115020266e-20,0.18461047566489877,1.5837847922646367e-19,0.0,0.3272512756040135,4281164759513301.5,0.10151690335065705
train-ticket-0.0.1,ts-payment-service,4.897729352908294e-22,1.222870117254364e-21,0.0,0.0,8.121997998189986e-22,2.21530884674903e-21,0.0,0.0,0.0,0.0,0.0
train-ticket-0.0.1,ts-preserve-other-service,0.07909112364393671,0.0156592823457058,0.11620605256263594,2.8210907733029666e-49,0.13115831880934858,0.028367809651012363,0.1759351616800241,0.1410414762386438,0.23463405081062447,1.7319923694959504e+16,0.41069781672729755
