MS_system,Version Id,Microservice,Taylor_JC,Taylor_CC,Liu_JC,Liu_CC,Yin_JC,Yin_CC,Taylor_FOM,Taylor_FOM_NORM,CCP
train-ticket-0.0.1,1,ts-admin-travel-service,0.0506730849072172,0.0840321431673514,0.0331723530263006,0.0502227135703047,0.0017814759765175,0.0032272597354092,6061360926801134.0,0.1437297151463689,MEDIUM-HIGH
train-ticket-0.0.1,1,ts-order-other-service,5.580102899748872e-20,9.253591065529644e-20,4.9467185068405835e-19,7.489297683676728e-19,0.0489324480868596,0.0886443160319371,4281164759513301.5,0.101516903350657,MEDIUM-HIGH
train-ticket-0.0.1,1,ts-preserve-other-service,0.0790911236439367,0.1311583188093485,0.1162060525626359,0.1759351616800241,0.0156592823457058,0.0283678096510123,1.7319923694959504e+16,0.4106978167272975,HIGH
train-ticket-0.0.1,1,ts-preserve-service,0.0790911236439367,0.1311583188093485,0.1162060525626357,0.1759351616800237,0.0194386376812322,0.0352143579407016,1.7319923694959508e+16,0.4106978167272976,HIGH
train-ticket-0.0.1,1,ts-rebook-service,0.0735091545178986,0.1219016329451698,0.0997611284767325,0.1510376600949869,0.0217716924103823,0.0394408385035272,1.4735223553781436e+16,0.3494082450425504,HIGH
train-ticket-0.0.1,1,ts-route-plan-service,0.0506730849072172,0.0840321431673514,0.0426501682765138,0.0645720604558369,0.0127585766579307,0.023112992413045,7228640044121747.0,0.1714087623199115,HIGH
train-ticket-0.0.1,1,ts-seat-service,0.0506488260439436,0.0839919142317061,0.0473890757051346,0.0717467336011249,0.0254526945529401,0.0461092135797122,1.2300218345648386e+16,0.2916683069046659,HIGH
train-ticket-0.0.1,1,ts-travel-plan-service,0.1223671736690913,0.2029238179513459,0.1191462575813305,0.1803866117889384,0.0136531727070417,0.0247336114092079,1.1973096104911654e+16,0.2839114372763883,HIGH
train-ticket-0.0.1,1,ts-travel-service,0.0358150736187819,0.0593928196673509,0.0335091367856464,0.0507326018579201,0.0239587397272689,0.0434028171315076,1.1618171311686682e+16,0.2754953010250314,HIGH
train-ticket-0.0.1,1,ts-travel2-service,0.0358150736187819,0.0593928196673509,0.0335091367856463,0.05073260185792,0.0083630554865636,0.0151502195890062,1.1618171311686682e+16,0.2754953010250314,HIGH
train-ticket-0.0.2,2,ts-admin-travel-service,0.0927165248610521,0.0854589623559928,0.0598511381900196,0.0535329289576977,0.0032500589454041,0.0032592070973633,0.1307383368540954,0.1523598187718194,MEDIUM-HIGH
train-ticket-0.0.2,2,ts-order-other-service,1.3703764122541324e-20,1.2631075895464427e-20,3.817257287407127e-20,3.414287002048955e-20,0.088975284210435,0.0892257287205946,0.0485706615361371,0.0566032685388364,MEDIUM-LOW
train-ticket-0.0.2,2,ts-preserve-other-service,0.1447137011852083,0.1333859607067543,0.2110496448875078,0.1887701050970872,0.028445045162963,0.0285251112786886,0.0522653824861852,0.0609090217548194,MEDIUM-LOW
train-ticket-0.0.2,2,ts-preserve-service,0.1447137011852083,0.1333859607067543,0.211049644887507,0.1887701050970865,0.0353571468060241,0.035456668863088,0.1222496343803324,0.1424672562562521,MEDIUM-HIGH
train-ticket-0.0.2,2,ts-rebook-service,0.1161313176238116,0.1070409176361848,0.1035336431202211,0.092604072863073,0.0338595200562969,0.0339548266460986,0.0838222802607254,0.0976847934345182,MEDIUM-LOW
train-ticket-0.0.2,2,ts-route-plan-service,0.0927165248610521,0.0854589623559928,0.0769514649792813,0.0688280529410811,0.023168252074686,0.0232334652582525,0.1007762766073943,0.1174426385547244,MEDIUM-HIGH
train-ticket-0.0.2,2,ts-seat-service,0.0926378467333005,0.085386442908485,0.0855016252406739,0.0764756121302962,0.0464390307036718,0.0465697456589549,0.0534300449628558,0.0622662958960217,MEDIUM-LOW
train-ticket-0.0.2,2,ts-travel-plan-service,0.2239181501960871,0.2063905306751788,0.2149693561000243,0.1922760304348501,0.0248045823588385,0.0248744014275124,0.1432995291344072,0.1669983787033421,HIGH
train-ticket-0.0.2,2,ts-travel-service,0.0655092521743297,0.06038139073833,0.0604587790216757,0.0540764239430323,0.0437346620873092,0.0438577648806372,0.0681481707343712,0.0794185025797546,MEDIUM-LOW
train-ticket-0.0.2,2,ts-travel2-service,0.0655092521743297,0.06038139073833,0.0604587790216757,0.0540764239430323,0.0152320267992775,0.0152749013742152,0.1809726255651281,0.2109018448393969,HIGH
train-ticket-0.0.3,3,ts-admin-travel-service,0.1190134563785623,0.0857250766953101,0.07481392554004,0.053485829880355,0.0041500476857474,0.0032782795299086,0.0519024978547111,0.0483546854465392,LOW
train-ticket-0.0.3,3,ts-order-other-service,4.728210908080627e-21,3.405717765540204e-21,2.404584681920361e-21,1.719081124292404e-21,0.1129419252882825,0.0892170957487127,0.0355831130176048,0.0331508175577865,LOW
train-ticket-0.0.3,3,ts-preserve-other-service,0.1857496233199735,0.1337949605847927,0.2646196760711155,0.1891813973824903,0.0360213808538103,0.0284546502676686,0.05835401728838,0.0543652091354097,LOW
train-ticket-0.0.3,3,ts-preserve-service,0.1857496233199735,0.1337949605847927,0.264619676071116,0.1891813973824906,0.0448896305103456,0.0354600158722577,0.0430107221223246,0.040070709985391,LOW
train-ticket-0.0.3,3,ts-rebook-service,0.1449893684632324,0.1044354572140132,0.1290323999461639,0.092247598862873,0.0429954728002868,0.0339637491019673,0.090341411370731,0.0841660943150848,MEDIUM-LOW
