MS_system,Version Id,Microservice,Sum(Di)_x,Sum(Fin)_x,Sum(Fout)_x,Sum(IOVars)_x,Sum(MCLC)_x,Sum(NBD)_x,Sum(Si)_x,Sum(VG)_x,Avg(Di)_x,Avg(Fin)_x,Avg(Fout)_x,Avg(IOVars)_x,Avg(MCLC)_x,Avg(NBD)_x,Avg(Si)_x,Avg(VG)_x,Max(Di)_x,Max(Fin)_x,Max(Fout)_x,Max(IOVars)_x,Max(MCLC)_x,Max(NBD)_x,Max(Si)_x,Max(VG)_x,Sum(Di)_y,Sum(Fin)_y,Sum(Fout)_y,Sum(IOVars)_y,Sum(MCLC)_y,Sum(NBD)_y,Sum(Si)_y,Sum(VG)_y,Avg(Di)_y,Avg(Fin)_y,Avg(Fout)_y,Avg(IOVars)_y,Avg(MCLC)_y,Avg(NBD)_y,Avg(Si)_y,Avg(VG)_y,Max(Di)_y,Max(Fin)_y,Max(Fout)_y,Max(IOVars)_y,Max(MCLC)_y,Max(NBD)_y,Max(Si)_y,Max(VG)_y
train-ticket-0.0.1,1,ts-order-service,383.119031013,197.0,197.0,454.0,153.0,358.0,2979.0,398.0,1.1824661451018519,0.6080246913580247,0.6080246913580247,1.4012345679012346,0.4722222222222222,1.1049382716049383,9.194444444444445,1.228395061728395,4.0,12.0,33.0,5.0,24.0,10.0,1089.0,18.0,383.119031013,197.0,197.0,454.0,153.0,358.0,2979.0,398.0,1.1824661451018519,0.6080246913580247,0.6080246913580247,1.4012345679012346,0.4722222222222222,1.1049382716049383,9.194444444444445,1.228395061728395,4.0,12.0,33.0,5.0,24.0,10.0,1089.0,18.0
train-ticket-0.0.1,1,ts-payment-service,110.1,11.0,11.0,123.0,47.0,73.0,29.0,81.0,1.6938461538461538,0.16923076923076924,0.16923076923076924,1.8923076923076922,0.7230769230769231,1.123076923076923,0.4461538461538462,1.2461538461538462,7.0,2.0,4.0,7.0,19.0,3.0,16.0,7.0,110.1,11.0,11.0,123.0,47.0,73.0,29.0,81.0,1.6938461538461538,0.16923076923076924,0.16923076923076924,1.8923076923076922,0.7230769230769231,1.123076923076923,0.4461538461538462,1.2461538461538462,7.0,2.0,4.0,7.0,19.0,3.0,16.0,7.0
train-ticket-0.0.1,1,ts-preserve-other-service,462.259039547,141.0,141.0,480.0,84.0,425.0,13921.0,466.0,1.111199614295673,0.3389423076923077,0.3389423076923077,1.1538461538461537,0.20192307692307693,1.0216346153846154,33.46394230769231,1.1201923076923077,8.0,8.0,117.0,8.0,42.0,6.0,13689.0,22.0,462.259039547,141.0,141.0,480.0,84.0,425.0,13921.0,466.0,1.111199614295673,0.3389423076923077,0.3389423076923077,1.1538461538461537,0.20192307692307693,1.0216346153846154,33.46394230769231,1.1201923076923077,8.0,8.0,117.0,8.0,42.0,6.0,13689.0,22.0
train-ticket-0.0.1,1,ts-preserve-service,462.259401709,140.0,140.0,480.0,87.0,425.0,13688.0,464.0,1.1112004848774037,0.33653846153846156,0.33653846153846156,1.1538461538461537,0.2091346153846154,1.0216346153846154,32.90384615384615,1.1153846153846154,8.0,8.0,116.0,8.0,45.0,6.0,13456.0,20.0,462.259401709,140.0,140.0,480.0,87.0,425.0,13688.0,464.0,1.1112004848774037,0.33653846153846156,0.33653846153846156,1.1538461538461537,0.2091346153846154,1.0216346153846154,32.90384615384615,1.1153846153846154,8.0,8.0,116.0,8.0,45.0,6.0,13456.0,20.0
train-ticket-0.0.1,1,ts-price-service,121.157894736,41.0,41.0,137.0,20.0,87.0,465.0,88.0,1.5144736842,0.5125,0.5125,1.7125,0.25,1.0875,5.8125,1.1,6.0,8.0,18.0,6.0,6.0,3.0,324.0,4.0,121.157894736,41.0,41.0,137.0,20.0,87.0,465.0,88.0,1.5144736842,0.5125,0.5125,1.7125,0.25,1.0875,5.8125,1.1,6.0,8.0,18.0,6.0,6.0,3.0,324.0,4.0
train-ticket-0.0.1,1,ts-rebook-service,370.939643462,114.0,114.0,403.0,114.0,342.0,2882.0,389.0,1.177586169720635,0.3619047619047619,0.3619047619047619,1.2793650793650793,0.3619047619047619,1.0857142857142856,9.149206349206349,1.234920634920635,8.0,16.0,37.0,8.0,26.0,10.0,1369.0,18.0,370.939643462,114.0,114.0,403.0,114.0,342.0,2882.0,389.0,1.177586169720635,0.3619047619047619,0.3619047619047619,1.2793650793650793,0.3619047619047619,1.0857142857142856,9.149206349206349,1.234920634920635,8.0,16.0,37.0,8.0,26.0,10.0,1369.0,18.0
train-ticket-0.0.1,1,ts-register-service,52.666666667,6.0,6.0,58.0,8.0,49.0,26.0,50.0,1.0972222222291668,0.125,0.125,1.2083333333333333,0.16666666666666666,1.0208333333333333,0.5416666666666666,1.0416666666666667,4.0,2.0,5.0,4.0,5.0,2.0,25.0,3.0,52.666666667,6.0,6.0,58.0,8.0,49.0,26.0,50.0,1.0972222222291668,0.125,0.125,1.2083333333333333,0.16666666666666666,1.0208333333333333,0.5416666666666666,1.0416666666666667,4.0,2.0,5.0,4.0,5.0,2.0,25.0,3.0
train-ticket-0.0.1,1,ts-route-plan-service,219.945614035,94.0,94.0,244.0,85.0,195.0,2088.0,203.0,1.2084923848076923,0.5164835164835165,0.5164835164835165,1.3406593406593406,0.46703296703296704,1.0714285714285714,11.472527472527473,1.1153846153846154,8.0,9.0,37.0,8.0,24.0,4.0,1369.0,8.0,219.945614035,94.0,94.0,244.0,85.0,195.0,2088.0,203.0,1.2084923848076923,0.5164835164835165,0.5164835164835165,1.3406593406593406,0.46703296703296704,1.0714285714285714,11.472527472527473,1.1153846153846154,8.0,9.0,37.0,8.0,24.0,4.0,1369.0,8.0
train-ticket-0.0.1,1,ts-route-service,123.064102564,21.0,21.0,130.0,24.0,90.0,209.0,95.0,1.4478129713411765,0.24705882352941178,0.24705882352941178,1.5294117647058822,0.2823529411764706,1.0588235294117647,2.458823529411765,1.1176470588235294,4.0,4.0,12.0,4.0,14.0,3.0,144.0,6.0,123.064102564,21.0,21.0,130.0,24.0,90.0,209.0,95.0,1.4478129713411765,0.24705882352941178,0.24705882352941178,1.5294117647058822,0.2823529411764706,1.0588235294117647,2.458823529411765,1.1176470588235294,4.0,4.0,12.0,4.0,14.0,3.0,144.0,6.0
train-ticket-0.0.1,1,ts-seat-service,95.731111111,51.0,51.0,103.0,54.0,79.0,1253.0,88.0,1.2596198830394738,0.6710526315789473,0.6710526315789473,1.355263157894737,0.7105263157894737,1.0394736842105263,16.486842105263158,1.1578947368421053,5.0,10.0,26.0,5.0,26.0,2.0,676.0,7.0,95.731111111,51.0,51.0,103.0,54.0,79.0,1253.0,88.0,1.2596198830394738,0.6710526315789473,0.6710526315789473,1.355263157894737,0.7105263157894737,1.0394736842105263,16.486842105263158,1.1578947368421053,5.0,10.0,26.0,5.0,26.0,2.0,676.0,7.0
