MS_system,Version Id,Microservice,Avg(Cognitive complexity),Cognitive complexity,Max(NBD),Max(SIX),Max(VG),Taylor_JC,Yin_JC,Liu_JC,Huang_JC,Taylor_CC,Yin_CC,Liu_CC,Huang_CC
train-ticket-0.0.1,1,ts-admin-basic-info-service,10.0,70,2.0,2.0,8.0,6.1215791644320114e-18,0.009700139293102,2.0077211673611847e-18,0.0,1.0151531482595029e-17,0.0175724339711189,3.0396759927603922e-18,0.0
train-ticket-0.0.1,1,ts-admin-order-service,12.285714285714286,86,3.0,1.6,18.0,8.44679666302346e-21,0.0083137762640698,4.366742471441417e-19,0.0,1.4007484008371454e-20,0.0150609470685552,6.611217968306547e-19,0.0
train-ticket-0.0.1,1,ts-admin-route-service,2.2857142857142856,16,2.0,1.5,2.0,6.923402241658826e-24,3.239838134819667e-19,3.588784738926206e-23,0.0,1.148120998438313e-23,5.869177748995544e-19,5.433395329709349e-23,0.0
train-ticket-0.0.1,1,ts-admin-travel-service,9.714285714285714,68,3.0,1.6,6.0,0.0506730849072172,0.0017814759765175,0.0331723530263006,9.664395788608057e-50,0.0840321431673514,0.0032272597354092,0.0502227135703047,0.0483175040618739
train-ticket-0.0.1,1,ts-admin-user-service,5.428571428571429,38,2.0,1.6,2.0,1.0073166214414811e-25,0.0,0.0,0.0,1.6704523654482955e-25,0.0,0.0,0.0
train-ticket-0.0.1,1,ts-assurance-service,5.666666666666667,34,3.0,2.0,3.0,1.0028381260530248e-25,6.653919743394298e-20,0.0,0.0,1.6630255911292232e-25,1.2054008896869068e-19,0.0,0.0
train-ticket-0.0.1,1,ts-cancel-service,44.5,178,6.0,0.4,18.0,3.060269439326813e-18,0.0088872044480883,5.234897305675692e-19,0.0,5.074903178423907e-18,0.0160997495636915,7.9255983964858305e-19,0.0
train-ticket-0.0.1,1,ts-config-service,3.3333333333333335,20,2.0,2.0,2.0,1.2078473689095605e-17,9.805756831202002e-20,0.0,0.0,2.0029963286103568e-17,1.7763767018859182e-19,0.0,0.0
train-ticket-0.0.1,1,ts-consign-price-service,2.3333333333333335,14,2.0,2.0,3.0,2.621048332103649e-17,2.890084783284209e-17,0.0,0.0,4.346534439242552e-17,5.235576777883207e-17,0.0,0.0
train-ticket-0.0.1,1,ts-consign-service,2.0,10,2.0,2.0,3.0,3.640703151909336e-17,2.602567382436636e-19,1.0453683185356268e-22,0.0,6.037447474359302e-17,4.71472028404558e-19,1.5826804205194713e-22,0.0
train-ticket-0.0.1,1,ts-contacts-service,8.0,48,3.0,2.0,8.0,3.0826021594277e-17,1.6952158402436534e-19,0.0,0.0,5.111937954109467e-17,3.0709938815682956e-19,0.0,0.0
train-ticket-0.0.1,1,ts-execute-service,22.0,88,4.0,0.666666667,18.0,2.7625661380583218e-17,0.0083137762640698,2.4232539987100853e-19,0.0,4.5812161159647586e-17,0.0150609470685552,3.6687898319670193e-19,0.0
train-ticket-0.0.1,1,ts-food-map-service,4.333333333333333,26,4.0,2.0,5.0,2.3461434559544266e-17,2.681914262734115e-20,0.0,0.0,3.8906544399831357e-17,4.858462324516407e-20,0.0,0.0
train-ticket-0.0.1,1,ts-food-service,20.0,100,5.0,2.0,15.0,0.0253365424536086,0.0137783911940181,0.0189556302638701,0.0,0.0420160715836757,0.0249604528521881,0.0286986934129199,0.0
train-ticket-0.0.1,1,ts-inside-payment-service,16.75,134,4.0,1.636363636,18.0,1.986071043218943e-18,0.0104038609433945,3.923748922699321e-20,0.0,3.2935394904393346e-18,0.0188472715646992,5.940528792464014e-20,0.0
train-ticket-0.0.1,1,ts-login-service,7.6,38,2.0,1.333333333,9.0,2.1955931328360023e-19,0.0,0.0,0.0,3.640993967775008e-19,0.0,0.0,0.0
train-ticket-0.0.1,1,ts-notification-service,1.6,8,2.0,2.0,1.0,1.9167726128770384e-19,8.556740876117971e-19,0.0,0.0,3.178620581704526e-19,1.5501093284349405e-18,0.0,0.0
train-ticket-0.0.1,1,ts-order-other-service,39.0,234,10.0,1.9,18.0,5.580102899748872e-20,0.0489324480868596,4.9467185068405835e-19,0.0,9.253591065529644e-20,0.0886443160319371,7.489297683676728e-19,0.0
train-ticket-0.0.1,1,ts-order-service,39.0,234,10.0,1.9,18.0,1.8294495704782895e-20,0.1019066187335522,1.0460977615863614e-19,0.0,3.033811115020266e-20,0.1846104756648987,1.5837847922646371e-19,0.0
train-ticket-0.0.1,1,ts-payment-service,4.333333333333333,52,3.0,2.0,7.0,4.897729352908294e-22,1.222870117254364e-21,0.0,0.0,8.121997998189986e-22,2.21530884674903e-21,0.0,0.0
train-ticket-0.0.1,1,ts-preserve-other-service,44.0,176,6.0,0.153846154,22.0,0.0790911236439367,0.0156592823457058,0.1162060525626359,2.8210907733029666e-49,0.1311583188093485,0.0283678096510123,0.1759351616800241,0.1410414762386438
train-ticket-0.0.1,1,ts-preserve-service,42.5,170,6.0,0.153846154,20.0,0.0790911236439367,0.0194386376812322,0.1162060525626357,2.9405436329723168e-49,0.1311583188093485,0.0352143579407016,0.1759351616800237,0.1470135661225035
train-ticket-0.0.1,1,ts-price-service,4.666666666666667,28,3.0,2.0,4.0,1.9337880724701578e-21,2.619687562023938e-23,0.0,0.0,3.2068376428762586e-21,4.7457346041786416e-23,0.0,0.0
train-ticket-0.0.1,1,ts-rebook-service,48.5,194,10.0,0.25,18.0,0.0735091545178986,0.0217716924103823,0.0997611284767325,3.950912283599523e-49,0.1219016329451698,0.0394408385035272,0.1510376600949869,0.1975273203690081
