MS_system,Version Id,Microservice,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,SumCyclomatic,CountDeclFunction,CountDeclMethodDefault,CountSemicolon,RatioPrivateToPublicMethod,RatioProtectedToPublicMethod,Taylor_JC,Yin_JC,Liu_JC,Huang_JC,Taylor_CC,Yin_CC,Liu_CC,Huang_CC,Taylor_MNC,Yin_MNC,Liu_MNC,Huang_MNC,Taylor_MLC,Yin_MLC,Liu_MLC,Huang_MLC,Taylor_TAC,Taylor_FOM
train-ticket-0.0.1,1,ts-admin-basic-info-service,29.0,1.0,0.0,26.0,245.0,85.0,246.0,0.0,0.0,226.0,1766.0,435.0,1279.0,594.0,488.0,72.0,837.0,501.0,381.0,249.0,0.0,20.0,563.0,0.0,0.0,6.1215791644320114e-18,0.009700139293102,2.0077211673611843e-18,0.0,1.0151531482595029e-17,0.0175724339711189,3.039675992760392e-18,0.0,1.3824275770885182e-17,0.1069417334542898,2.1693099875317193e-18,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.0,0.1343870463086525
train-ticket-0.0.1,1,ts-admin-order-service,16.0,3.0,0.0,16.0,115.0,60.0,118.0,1.0,0.0,111.0,905.0,183.0,695.0,320.0,261.0,35.0,453.0,277.0,204.0,127.0,0.0,6.0,310.0,0.009009009009009009,0.0,8.44679666302346e-21,0.0083137762640698,4.366742471441417e-19,0.0,1.4007484008371454e-20,0.0150609470685552,6.611217968306547e-19,0.0,2.210577527176693e-20,0.0978016119380465,1.0760301448002256e-17,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.0,0.2066824226124408
train-ticket-0.0.1,1,ts-admin-route-service,12.0,1.0,0.0,12.0,79.0,29.0,80.0,1.0,0.0,76.0,559.0,122.0,422.0,214.0,129.0,18.0,290.0,191.0,113.0,81.0,0.0,3.0,197.0,0.013157894736842105,0.0,6.923402241658826e-24,3.239838134819667e-19,3.588784738926206e-23,0.0,1.148120998438313e-23,5.869177748995544e-19,5.433395329709349e-23,0.0,1.607164964129784e-23,0.0038918875710854,3.1213935915284695e-19,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.0,0.1163426347104992
train-ticket-0.0.1,1,ts-admin-travel-service,15.0,2.0,0.0,15.0,116.0,48.0,118.0,1.0,0.0,112.0,873.0,195.0,653.0,298.0,243.0,33.0,443.0,264.0,201.0,129.0,0.0,5.0,303.0,0.008928571428571428,0.0,0.0506730849072172,0.0017814759765175,0.0331723530263006,9.664395788608057e-50,0.0840321431673514,0.0032272597354092,0.0502227135703047,0.0483175040618739,0.6170978753005282,0.0245774893192325,0.3427637573640846,0.1381928510857383,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.0,0.5466078291460437
train-ticket-0.0.1,1,ts-admin-user-service,16.0,3.0,0.0,16.0,109.0,51.0,112.0,1.0,0.0,105.0,744.0,169.0,562.0,280.0,168.0,17.0,383.0,251.0,147.0,113.0,0.0,6.0,254.0,0.009523809523809525,0.0,1.0073166214414811e-25,0.0,0.0,0.0,1.6704523654482955e-25,0.0,0.0,0.0,1.5367379459185107e-25,2.4942341302387813e-18,1.4526281467007074e-16,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.0,0.1066796369961783
train-ticket-0.0.1,1,ts-assurance-service,19.0,2.0,0.0,19.0,112.0,39.0,114.0,1.0,0.0,99.0,870.0,205.0,608.0,305.0,198.0,58.0,430.0,262.0,189.0,109.0,0.0,14.0,300.0,0.010101010101010102,0.0,1.0028381260530248e-25,6.653919743394298e-20,0.0,0.0,1.6630255911292232e-25,1.2054008896869068e-19,0.0,0.0,1.529939864029251e-25,1.857898796033628e-18,0.0,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.1234629537148742,0.125295912663203
train-ticket-0.0.1,1,ts-cancel-service,22.0,5.0,0.0,22.0,164.0,91.0,169.0,6.0,0.0,157.0,1360.0,274.0,1053.0,448.0,485.0,41.0,732.0,400.0,414.0,192.0,0.0,6.0,518.0,0.03821656050955414,0.0,3.060269439326813e-18,0.0088872044480883,5.234897305675692e-19,0.0,5.074903178423907e-18,0.0160997495636915,7.9255983964858305e-19,0.0,3.816928828368664e-18,0.1045796007250868,4.357285867667647e-19,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,-5.551115123125783e-17,0.1502945835038353
train-ticket-0.0.1,1,ts-config-service,9.0,1.0,0.0,9.0,38.0,10.0,39.0,0.0,0.0,30.0,396.0,69.0,255.0,158.0,59.0,72.0,166.0,118.0,54.0,35.0,0.0,9.0,122.0,0.0,0.0,1.2078473689095605e-17,9.805756831202002e-20,0.0,0.0,2.0029963286103568e-17,1.7763767018859182e-19,0.0,0.0,1.9025624164297166e-17,1.499525791336966e-16,0.0,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.1085298137005532,0.7910221648219677
train-ticket-0.0.1,1,ts-consign-price-service,8.0,1.0,0.0,8.0,34.0,11.0,35.0,0.0,0.0,30.0,290.0,53.0,233.0,131.0,68.0,4.0,165.0,106.0,65.0,33.0,0.0,5.0,124.0,0.0,0.0,2.6210483321036487e-17,2.890084783284209e-17,0.0,0.0,4.346534439242552e-17,5.235576777883207e-17,0.0,0.0,3.572672655037433e-17,5.830007735025076e-17,0.0,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.0344900572316069,0.1846327919141029
train-ticket-0.0.1,1,ts-consign-service,9.0,1.0,0.0,9.0,69.0,27.0,70.0,0.0,0.0,63.0,487.0,94.0,385.0,205.0,119.0,10.0,275.0,179.0,109.0,66.0,0.0,7.0,200.0,0.0,0.0,3.640703151909336e-17,2.602567382436636e-19,1.0453683185356268e-22,0.0,6.037447474359302e-17,4.71472028404558e-19,1.5826804205194713e-22,0.0,6.020350417383006e-17,2.2128022027067417e-17,1.0392896242360032e-17,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.1324445540273623,0.2133151229026982
train-ticket-0.0.1,1,ts-contacts-service,18.0,2.0,0.0,18.0,113.0,46.0,115.0,1.0,0.0,102.0,908.0,207.0,661.0,314.0,240.0,41.0,465.0,266.0,223.0,115.0,0.0,12.0,332.0,0.00980392156862745,0.0,3.0826021594277e-17,1.6952158402436534e-19,0.0,0.0,5.111937954109467e-17,3.0709938815682956e-19,0.0,0.0,4.700799668191134e-17,6.7449903465692625e-18,0.0,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.123462953714874,0.1959923305947481
train-ticket-0.0.1,1,ts-execute-service,13.0,3.0,0.0,13.0,88.0,50.0,91.0,4.0,0.0,83.0,748.0,145.0,573.0,247.0,244.0,34.0,386.0,211.0,205.0,104.0,0.0,4.0,269.0,0.04819277108433735,0.0,2.7625661380583218e-17,0.0083137762640698,2.4232539987100853e-19,0.0,4.5812161159647586e-17,0.0150609470685552,3.6687898319670193e-19,0.0,4.2451464103429746e-17,0.0978016119380465,1.8226320921682802e-17,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.0,0.2047563536763039
train-ticket-0.0.1,1,ts-food-map-service,14.0,1.0,0.0,14.0,75.0,27.0,76.0,1.0,0.0,61.0,686.0,168.0,465.0,263.0,141.0,53.0,337.0,223.0,136.0,71.0,0.0,14.0,252.0,0.01639344262295082,0.0,2.3461434559544266e-17,2.681914262734115e-20,0.0,0.0,3.890654439983136e-17,4.858462324516407e-20,0.0,0.0,3.5607345576360665e-17,1.8668066121888098e-17,0.0,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.0330544678983992,0.6094685137181408
train-ticket-0.0.1,1,ts-food-service,26.0,1.0,0.0,26.0,182.0,75.0,183.0,0.0,0.0,172.0,1359.0,378.0,939.0,439.0,321.0,47.0,667.0,405.0,294.0,190.0,0.0,11.0,450.0,0.0,0.0,0.0253365424536086,0.0137783911940181,0.0189556302638701,0.0,0.0420160715836757,0.0249604528521881,0.0286986934129199,0.0,0.3085489376502641,0.1496440749031015,0.1945628562009002,0.0481090288447297,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.1317555661628081,0.2270124930813448
train-ticket-0.0.1,1,ts-inside-payment-service,30.0,8.0,0.0,30.0,193.0,96.0,201.0,2.0,0.0,180.0,1618.0,378.0,1189.0,595.0,453.0,59.0,820.0,505.0,398.0,215.0,0.0,19.0,574.0,0.011111111111111112,0.0,1.986071043218943e-18,0.0104038609433945,3.923748922699321e-20,0.0,3.2935394904393346e-18,0.0188472715646992,5.940528792464014e-20,0.0,3.2550512144880205e-18,0.1229748637781944,3.144884638707226e-20,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.0243104708848548,0.1873965227008157
train-ticket-0.0.1,1,ts-login-service,13.0,6.0,1.0,13.0,69.0,36.0,75.0,2.0,0.0,69.0,587.0,126.0,441.0,216.0,154.0,23.0,309.0,193.0,134.0,81.0,0.0,4.0,214.0,0.028985507246376812,0.0,2.1955931328360023e-19,0.0,0.0,0.0,3.640993967775008e-19,0.0,0.0,0.0,2.629461155491206e-19,0.0,0.0,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.0,0.0942548155185513
train-ticket-0.0.1,1,ts-notification-service,9.0,1.0,0.0,9.0,63.0,29.0,64.0,0.0,0.0,60.0,529.0,121.0,382.0,184.0,138.0,26.0,282.0,160.0,134.0,64.0,0.0,4.0,209.0,0.0,0.0,1.9167726128770384e-19,8.556740876117971e-19,0.0,0.0,3.178620581704526e-19,1.5501093284349405e-18,0.0,0.0,2.8783541353455915e-19,6.529722639961328e-17,0.0,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.1035099017607941,0.1512061557490461
train-ticket-0.0.1,1,ts-order-other-service,44.0,4.0,0.0,44.0,338.0,150.0,342.0,1.0,0.0,314.0,2451.0,538.0,1885.0,800.0,753.0,30.0,1321.0,696.0,689.0,371.0,0.0,27.0,901.0,0.0031847133757961785,0.0,5.580102899748872e-20,0.0489324480868596,4.946718506840583e-19,0.0,9.253591065529644e-20,0.0886443160319371,7.489297683676727e-19,0.0,7.667659473353988e-20,0.5653642991176437,5.354100700872119e-19,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.2963533274139554,0.1648354449181268
train-ticket-0.0.1,1,ts-order-service,44.0,4.0,0.0,44.0,338.0,150.0,342.0,1.0,0.0,314.0,2507.0,540.0,1922.0,803.0,790.0,47.0,1358.0,699.0,726.0,371.0,0.0,27.0,938.0,0.0031847133757961785,0.0,1.8294495704782895e-20,0.1019066187335522,1.0460977615863614e-19,0.0,3.033811115020266e-20,0.1846104756648987,1.583784792264637e-19,0.0,2.360828718576123e-20,1.2090765096906193,1.0782029329209902e-19,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.3232942389881369,0.2426603006777802
train-ticket-0.0.1,1,ts-payment-service,18.0,6.0,5.0,18.0,59.0,20.0,65.0,1.0,0.0,50.0,683.0,161.0,498.0,303.0,154.0,24.0,371.0,256.0,143.0,70.0,0.0,14.0,282.0,0.02,0.0,4.897729352908294e-22,1.222870117254364e-21,0.0,0.0,8.121997998189986e-22,2.21530884674903e-21,0.0,0.0,2.355509403718696e-21,1.4767637406508585e-19,0.0,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.0,0.1531442305436673
train-ticket-0.0.1,1,ts-preserve-other-service,49.0,7.0,0.0,49.0,451.0,222.0,458.0,9.0,0.0,442.0,3073.0,753.0,2225.0,966.0,827.0,113.0,1536.0,879.0,735.0,488.0,0.0,7.0,1003.0,0.020361990950226245,0.0,0.0790911236439367,0.0156592823457058,0.1162060525626359,2.8210907733029666e-49,0.1311583188093485,0.0283678096510123,0.1759351616800241,0.1410414762386438,0.9587064725103522,0.1761015767991547,1.1979531219289818,0.1015453018584203,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.2335459062255529,0.0394784414202157
train-ticket-0.0.1,1,ts-preserve-service,49.0,7.0,0.0,49.0,451.0,222.0,458.0,9.0,0.0,442.0,3058.0,753.0,2211.0,962.0,817.0,112.0,1523.0,875.0,725.0,486.0,0.0,7.0,992.0,0.020361990950226245,0.0,0.0790911236439367,0.0194386376812322,0.1162060525626357,2.9405436329723168e-49,0.1311583188093485,0.0352143579407016,0.1759351616800237,0.1470135661225035,0.958706472510352,0.2217021585427839,1.1979531219289812,0.1015453018584202,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.240561623775353,0.1136048215412187
train-ticket-0.0.1,1,ts-price-service,12.0,1.0,0.0,12.0,79.0,25.0,80.0,0.0,0.0,71.0,672.0,146.0,517.0,224.0,216.0,9.0,388.0,190.0,211.0,78.0,0.0,9.0,298.0,0.0,0.0,1.9337880724701578e-21,2.619687562023938e-23,0.0,0.0,3.2068376428762586e-21,4.7457346041786416e-23,0.0,0.0,4.044537243925067e-21,1.6712321181832114e-21,0.0,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.0022546282459868,0.2242578644966403
train-ticket-0.0.1,1,ts-rebook-service,43.0,4.0,0.0,43.0,331.0,152.0,335.0,13.0,0.0,317.0,2506.0,576.0,1798.0,793.0,696.0,154.0,1207.0,697.0,591.0,382.0,0.0,5.0,786.0,0.04100946372239748,0.0,0.0735091545178986,0.0217716924103823,0.0997611284767325,3.950912283599523e-49,0.1219016329451698,0.0394408385035272,0.1510376600949869,0.1975273203690081,0.7558955684733448,0.2118176225669418,0.6314969013957077,0.1464167214892641,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.0933456496703865,0.1299103943812282
train-ticket-0.0.1,1,ts-register-service,10.0,3.0,0.0,10.0,57.0,33.0,60.0,0.0,0.0,57.0,468.0,118.0,341.0,172.0,116.0,12.0,235.0,149.0,101.0,61.0,0.0,3.0,164.0,0.0,0.0,8.290837732886551e-19,0.0005734281840185,1.4779907729570826e-20,0.0,1.374885433998856e-18,0.0010388024951362,2.2376678311280702e-20,0.0,1.2653360209653865e-18,0.0005734281840185,1.4779907729570826e-20,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.0002317781598786,0.4058761661223133
train-ticket-0.0.1,1,ts-route-plan-service,22.0,2.0,0.0,22.0,188.0,77.0,190.0,5.0,0.0,181.0,1465.0,349.0,1047.0,455.0,441.0,80.0,775.0,442.0,401.0,210.0,0.0,4.0,541.0,0.027624309392265192,0.0,0.0506730849072172,0.0127585766579307,0.0426501682765138,9.664395788608057e-50,0.0840321431673514,0.023112992413045,0.0645720604558369,0.0483175040618739,0.6170978753005281,0.1381652622485181,0.4388966796016932,0.2063883649464531,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.0507961824414122,0.4043750879825045
train-ticket-0.0.1,1,ts-route-service,14.0,1.0,0.0,14.0,84.0,27.0,85.0,0.0,0.0,76.0,673.0,154.0,510.0,225.0,203.0,9.0,366.0,196.0,184.0,84.0,0.0,9.0,267.0,0.0,0.0,1.4929665110742398e-23,7.863493748092124e-18,0.0,0.0,2.4758148400154585e-23,1.424523096992213e-17,0.0,0.0,2.422901688054347e-23,8.74125232847682e-18,0.0,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.1763412948019174,0.0204915517058743
train-ticket-0.0.1,1,ts-seat-service,14.0,2.0,0.0,14.0,80.0,39.0,82.0,2.0,0.0,77.0,801.0,159.0,584.0,260.0,243.0,71.0,379.0,222.0,182.0,92.0,0.0,3.0,270.0,0.025974025974025976,0.0,0.0506488260439436,0.0254526945529401,0.0473890757051346,2.537450875174123e-49,0.0839919142317061,0.0461092135797122,0.0717467336011249,0.1268607946629735,0.592199817393422,0.304588117823211,0.48495061045209,0.023812408771398,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.4167630884958223,0.2624046224157381
train-ticket-0.0.1,1,ts-security-service,21.0,3.0,0.0,21.0,144.0,71.0,147.0,2.0,0.0,134.0,1028.0,237.0,769.0,373.0,263.0,24.0,525.0,321.0,234.0,145.0,0.0,11.0,359.0,0.014925373134328358,0.0,8.452145825483948e-21,0.0104038609433945,8.656224013530263e-19,0.0,1.4016354626501932e-20,0.0188472715646992,1.31054634227256e-18,0.0,2.2113487633426502e-20,0.1229748637781944,1.158680170077188e-17,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.1613632224109365,0.1380273148327522
train-ticket-0.0.1,1,ts-sso-service,30.0,3.0,0.0,30.0,216.0,85.0,219.0,0.0,0.0,198.0,1528.0,357.0,1133.0,496.0,422.0,38.0,811.0,443.0,403.0,221.0,0.0,21.0,559.0,0.0,0.0,2.9932507973968937e-25,0.0,0.0,0.0,4.9637648862941075e-25,0.0,0.0,0.0,4.527785411334475e-25,0.0,0.0,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.0,0.0356423660964458
train-ticket-0.0.1,1,ts-ticketinfo-service,11.0,2.0,0.0,11.0,74.0,33.0,76.0,0.0,0.0,73.0,559.0,129.0,381.0,197.0,107.0,51.0,260.0,168.0,99.0,79.0,0.0,3.0,174.0,0.0,0.0,5.273792789814205e-17,0.0011878763008686,7.866998482082487e-19,0.0,8.745631168105457e-17,0.0021519152696823,1.191058141429988e-18,0.0,4.2353277668356303e-16,0.0124857642311821,8.044069190977738e-19,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.2364807553867031,0.0329495352121952
train-ticket-0.0.1,1,ts-train-service,9.0,1.0,0.0,9.0,43.0,12.0,44.0,0.0,0.0,36.0,394.0,91.0,291.0,156.0,93.0,12.0,205.0,122.0,87.0,40.0,0.0,8.0,156.0,0.0,0.0,2.756284578462272e-28,2.0352771449156106e-18,0.0,0.0,4.570799285881175e-28,3.687037078672689e-18,0.0,0.0,4.537409807152019e-28,7.355807792999538e-18,0.0,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.178201026974255,0.1239418804531192
