MS_system,Version Id,Microservice,SQ reliability remediation effort,Critical violations,Violations,Cognitive complexity,Minor violations,Info violations,Security remediation effort,SQ maintainability remediation effort,Security hotspots,Effort to reach rating A,Duplicated blocks,Reliability remediation effort,Code smells,SQ security remediation effort,Bugs,Major violations,Avg(SQ reliability remediation effort),Avg(Critical violations),Avg(Violations),Avg(Cognitive complexity),Avg(Minor violations),Avg(Info violations),Avg(Security remediation effort),Avg(SQ maintainability remediation effort),Avg(Security hotspots),Avg(Effort to reach rating A),Avg(Duplicated blocks),Avg(Reliability remediation effort),Avg(Code smells),Avg(SQ security remediation effort),Avg(Bugs),Avg(Major violations),Max(Sqale rating),Max(Reliability rating),Max(Security rating),Taylor_JC,Yin_JC,Liu_JC,Huang_JC,Taylor_CC,Yin_CC,Liu_CC,Huang_CC,Taylor_MNC,Yin_MNC,Liu_MNC,Huang_MNC,Taylor_MLC,Yin_MLC,Liu_MLC,Huang_MLC,Taylor_TAC,Taylor_FOM
train-ticket-0.0.1,1,ts-admin-basic-info-service,45,21,116,70,11,0,0,825,0,0,90,45,113,0,3,84,6.428571428571429,3.0,16.571428571428573,10.0,1.5714285714285714,0.0,0.0,117.85714285714286,0.0,0.0,12.857142857142858,6.428571428571429,16.142857142857142,0.0,0.42857142857142855,12.0,1.0,2.0,1.0,6.1215791644320114e-18,0.009700139293102,2.0077211673611843e-18,0.0,1.0151531482595029e-17,0.0175724339711189,3.039675992760392e-18,0.0,1.3824275770885182e-17,0.1069417334542898,2.1693099875317193e-18,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.0,0.1343870463086525
train-ticket-0.0.1,1,ts-admin-order-service,45,22,111,86,40,0,0,864,0,0,66,45,108,0,3,49,6.428571428571429,3.142857142857143,15.857142857142858,12.285714285714286,5.714285714285714,0.0,0.0,123.42857142857143,0.0,0.0,9.428571428571429,6.428571428571429,15.428571428571429,0.0,0.42857142857142855,7.0,1.0,2.0,1.0,8.44679666302346e-21,0.0083137762640698,4.366742471441417e-19,0.0,1.4007484008371454e-20,0.0150609470685552,6.611217968306547e-19,0.0,2.210577527176693e-20,0.0978016119380465,1.0760301448002256e-17,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.0,0.2066824226124408
train-ticket-0.0.1,1,ts-admin-route-service,0,4,45,16,29,0,0,348,0,0,33,0,45,0,0,12,0.0,0.5714285714285714,6.428571428571429,2.2857142857142856,4.142857142857143,0.0,0.0,49.714285714285715,0.0,0.0,4.714285714285714,0.0,6.428571428571429,0.0,0.0,1.7142857142857142,1.0,1.0,1.0,6.923402241658826e-24,3.239838134819667e-19,3.588784738926206e-23,0.0,1.148120998438313e-23,5.869177748995544e-19,5.433395329709349e-23,0.0,1.607164964129784e-23,0.0038918875710854,3.1213935915284695e-19,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.0,0.1163426347104992
train-ticket-0.0.1,1,ts-admin-travel-service,0,9,78,68,28,0,0,666,0,0,73,0,78,0,0,41,0.0,1.2857142857142858,11.142857142857142,9.714285714285714,4.0,0.0,0.0,95.14285714285714,0.0,0.0,10.428571428571429,0.0,11.142857142857142,0.0,0.0,5.857142857142857,1.0,1.0,1.0,0.0506730849072172,0.0017814759765175,0.0331723530263006,9.664395788608057e-50,0.0840321431673514,0.0032272597354092,0.0502227135703047,0.0483175040618739,0.6170978753005282,0.0245774893192325,0.3427637573640846,0.1381928510857383,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.0,0.5466078291460437
train-ticket-0.0.1,1,ts-admin-user-service,0,19,45,38,8,0,0,319,3,0,45,0,45,0,0,18,0.0,2.7142857142857144,6.428571428571429,5.428571428571429,1.1428571428571428,0.0,0.0,45.57142857142857,0.42857142857142855,0.0,6.428571428571429,0.0,6.428571428571429,0.0,0.0,2.5714285714285716,1.0,1.0,1.0,1.0073166214414811e-25,0.0,0.0,0.0,1.6704523654482955e-25,0.0,0.0,0.0,1.5367379459185107e-25,2.4942341302387813e-18,1.4526281467007074e-16,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.0,0.1066796369961783
train-ticket-0.0.1,1,ts-assurance-service,0,8,80,34,16,0,0,656,0,0,24,0,80,0,0,56,0.0,1.3333333333333333,13.333333333333334,5.666666666666667,2.6666666666666665,0.0,0.0,109.33333333333333,0.0,0.0,4.0,0.0,13.333333333333334,0.0,0.0,9.333333333333334,1.0,1.0,1.0,1.0028381260530248e-25,6.653919743394298e-20,0.0,0.0,1.6630255911292232e-25,1.2054008896869068e-19,0.0,0.0,1.529939864029251e-25,1.857898796033628e-18,0.0,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.1234629537148742,0.125295912663203
train-ticket-0.0.1,1,ts-cancel-service,30,14,160,178,46,0,0,1314,4,43,80,30,158,0,2,100,7.5,3.5,40.0,44.5,11.5,0.0,0.0,328.5,1.0,10.75,20.0,7.5,39.5,0.0,0.5,25.0,2.0,2.0,1.0,3.060269439326813e-18,0.0088872044480883,5.234897305675692e-19,0.0,5.074903178423907e-18,0.0160997495636915,7.9255983964858305e-19,0.0,3.816928828368664e-18,0.1045796007250868,4.357285867667647e-19,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,-5.551115123125783e-17,0.1502945835038353
train-ticket-0.0.1,1,ts-config-service,0,2,12,20,6,0,0,48,0,0,4,0,12,0,0,4,0.0,0.3333333333333333,2.0,3.3333333333333335,1.0,0.0,0.0,8.0,0.0,0.0,0.6666666666666666,0.0,2.0,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.2078473689095605e-17,9.805756831202002e-20,0.0,0.0,2.0029963286103568e-17,1.7763767018859182e-19,0.0,0.0,1.9025624164297166e-17,1.499525791336966e-16,0.0,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.1085298137005532,0.7910221648219677
train-ticket-0.0.1,1,ts-consign-price-service,0,4,8,14,0,0,0,60,0,0,2,0,8,0,0,4,0.0,0.6666666666666666,1.3333333333333333,2.3333333333333335,0.0,0.0,0.0,10.0,0.0,0.0,0.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,2.6210483321036487e-17,2.890084783284209e-17,0.0,0.0,4.346534439242552e-17,5.235576777883207e-17,0.0,0.0,3.572672655037433e-17,5.830007735025076e-17,0.0,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.0344900572316069,0.1846327919141029
train-ticket-0.0.1,1,ts-consign-service,0,8,20,10,0,0,0,140,0,0,16,0,20,0,0,12,0.0,1.6,4.0,2.0,0.0,0.0,0.0,28.0,0.0,0.0,3.2,0.0,4.0,0.0,0.0,2.4,1.0,1.0,1.0,3.640703151909336e-17,2.602567382436636e-19,1.0453683185356268e-22,0.0,6.037447474359302e-17,4.71472028404558e-19,1.5826804205194713e-22,0.0,6.020350417383006e-17,2.2128022027067417e-17,1.0392896242360032e-17,0.0,0.6030202610244141,0.5520088628043571,0.6605049920264467,2.0001852281591612e-48,0.1324445540273623,0.2133151229026982
