MS_system,Version Id,Microservice,Avg(Cognitive complexity),Cognitive complexity,Max(NBD),Max(SIX),Max(VG),Taylor_JC,Yin_JC,Liu_JC,Huang_JC,Taylor_CC,Yin_CC,Liu_CC,Huang_CC,Taylor_TAC,Taylor_FOM,Taylor_FOM_NORM
train-ticket-0.2.0,6,ts-admin-basic-info-service,2.0,10,2.0,2.0,8.0,1.6385977094916705e-19,0.0117685928902041,1.3039653155561134e-24,0.0,1.7974410407202165e-19,0.0160779396884962,2.0692208031115414e-24,0.0,0.0,0.1671957915116146,0.0982578261934718
train-ticket-0.2.0,6,ts-admin-order-service,9.6,48,2.0,2.0,18.0,3.17026594741086e-22,0.0119856899740087,9.957789216842546e-21,0.0,3.477587018989426e-22,0.0163745319703878,1.580169683555029e-20,0.0,0.0,0.3048704642634204,0.1791666453939259
train-ticket-0.2.0,6,ts-admin-travel-service,8.4,42,3.0,2.0,6.0,0.079490483660812,0.0025209506931758,0.0344909174890284,0.034885771722135,0.0871961780801998,0.0034440560210296,0.0547325324801785,0.1299194861143019,0.0,0.2542460958940627,0.1494156549926807
train-ticket-0.2.0,6,ts-assurance-service,7.714285714285714,54,3.0,2.0,3.0,4.834626239671917e-28,6.5140118472400904e-21,0.0,0.0,5.303288030608181e-28,8.899270336494703e-21,0.0,0.0,-0.1248529496944551,0.1904601263725874,0.1119298388117882
train-ticket-0.2.0,6,ts-cancel-service,33.6,168,6.0,0.363636364,18.0,1.0207985569632799e-20,0.0128229868322368,3.5054662709046584e-19,0.0,1.1197533170987871e-20,0.0175184247461473,5.562712171733077e-19,0.0,-1.6653345369377348e-16,0.46489054609456,0.2732074417912264
train-ticket-0.2.0,6,ts-config-service,3.6666666666666665,22,2.0,2.0,3.0,6.37199112780643e-20,1.6855131459931288e-17,0.0,0.0,6.989682884261713e-20,2.302703386740657e-17,0.0,0.0,-0.1060263291833341,0.2848905603318871,0.1674248311406019
train-ticket-0.2.0,6,ts-consign-service,2.769230769230769,36,3.0,2.0,3.0,3.3551854338544927e-19,4.9383628312547984e-20,3.95278619655703e-19,0.0,3.680432337420759e-19,6.746660412300909e-20,6.27254983747762e-19,0.0,-0.1337506620396999,0.3019246881736329,0.1774354681171634
train-ticket-0.2.0,6,ts-contacts-service,6.0,42,2.0,2.0,8.0,1.4842258283717284e-19,3.0683026351492916e-20,0.0,0.0,1.6281045690219588e-19,4.191833736983715e-20,0.0,0.0,-0.1248529496944553,0.2323260765790485,0.1365336713701289
train-ticket-0.2.0,6,ts-execute-service,18.8,94,4.0,0.666666667,18.0,1.357918984107345e-19,0.0119856899740087,2.680699548092659e-18,0.0,1.4895537189325317e-19,0.0163745319703878,4.2539162703414235e-18,0.0,2.6020852139652106e-18,0.1972100977339929,0.1158966701945854
train-ticket-0.2.0,6,ts-food-map-service,11.142857142857142,156,5.0,2.0,15.0,1.1140342722464962e-19,1.4811390124830917e-21,0.0,0.0,1.2220271700037492e-19,2.0234928623288417e-21,0.0,0.0,-0.0344974624692214,0.2841257808165677,0.1669753845844823
train-ticket-0.2.0,6,ts-inside-payment-service,17.75,142,4.0,1.636363636,18.0,1.1795891153391395e-20,0.015191300888456,4.2929016179033843e-23,0.0,1.2939368063410567e-20,0.0207539526392912,6.812268108288204e-23,0.0,-0.0241287091331014,0.1807523332763079,0.1062247511528673
train-ticket-0.2.0,6,ts-notification-service,1.7142857142857142,12,2.0,2.0,2.0,8.819715294355223e-22,4.744192414343423e-20,0.0,0.0,9.674685949890529e-22,6.481389935064007e-20,0.0,0.0,-0.1181374627190294,0.1370856726034653,0.0805626748766028
train-ticket-0.2.0,6,ts-order-other-service,30.857142857142858,216,10.0,1.8,18.0,1.9147242744050185e-22,0.0675390189690735,6.073697853493693e-25,0.0,2.100334922075828e-22,0.0922700176423668,9.638156629114906e-25,0.0,-0.2962412987806715,0.1501327110444257,0.0882301743027613
train-ticket-0.2.0,6,ts-order-service,31.142857142857142,218,10.0,1.8,18.0,4.873879646425169e-23,0.149920560583435,4.396881181350402e-25,0.0,5.34634660677833e-23,0.2048174963323252,6.9772699478434725e-25,0.0,-0.3225709374405179,0.1135228603725818,0.0667152527143605
train-ticket-0.2.0,6,ts-payment-service,2.0,14,2.0,2.0,3.0,2.609719464835264e-23,6.781074126816197e-23,0.0,0.0,2.86270195771023e-23,9.264123744557705e-23,0.0,0.0,0.0,0.1368952129155702,0.080450745295476
train-ticket-0.2.0,6,ts-preserve-service,21.666666666666668,260,4.0,0.166666667,18.0,0.1228447171421993,0.0258870052710317,0.1145673528019882,0.0106621306386315,0.1347531092885235,0.0353661404848047,0.1818032634358761,0.0397072635941041,-0.2454302000516707,0.0647194975052487,0.0380344330422803
train-ticket-0.2.0,6,ts-price-service,4.0,28,3.0,2.0,4.0,1.935998801457556e-23,2.9614269140826333e-24,0.0,0.0,2.1236717715201042e-23,4.0458229595266605e-24,0.0,0.0,-0.003331529725796,0.096240321689534,0.0565586293523251
train-ticket-0.2.0,6,ts-rebook-service,37.6,188,9.0,0.266666667,18.0,0.0937341737145197,0.0248790940373702,0.0594961057310233,0.0341848192240917,0.1028206311875919,0.0339891588713394,0.0944124649743871,0.1273090411150721,-0.0935317985108034,0.1598936468628045,0.0939664929412677
train-ticket-0.2.0,6,ts-route-plan-service,16.4,82,4.0,0.75,9.0,0.079490483660812,0.0157814969802687,0.0444467998497149,0.034885771722135,0.0871961780801998,0.0215602628972022,0.0705312033867569,0.1299194861143019,-0.0499708482722738,0.1285976786573902,0.0755744402664825
train-ticket-0.2.0,6,ts-route-service,5.714285714285714,40,3.0,2.0,6.0,8.529452065712509e-26,4.986761879929029e-21,0.0,0.0,9.356285016731512e-26,6.812781909817624e-21,0.0,0.0,-0.1741524963678852,0.5390492144867309,0.3167890982655825
train-ticket-0.2.0,6,ts-seat-service,13.2,66,3.0,1.0,8.0,0.0738594631259279,0.0385620810158653,0.0492253173107665,0.034885771722135,0.0810192944241871,0.0526824930236187,0.0781140797259354,0.1299194861143019,-0.4110763721987461,0.2798223981886398,0.1644463674454979
train-ticket-0.2.0,6,ts-security-service,6.285714285714286,44,2.0,1.428571429,18.0,3.170482702245376e-22,0.015191300888456,1.1096913736315077e-17,0.0,3.4778247857292896e-22,0.0207539526392912,1.7609337057960464e-17,0.0,-0.1596063269443813,0.3778858459134395,0.2220764137245433
